component,variable,metric_key,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1471,-0.08372188312064716,-0.08245352947494533,0.01780696404948484,0.01780696404948484,0.5263157894736842,94
raw,mean_speed,raw__mean_speed,19,1471,-0.04894352645566316,-0.062088243330155224,0.014949092198028258,0.014949092198028258,0.5789473684210527,94
affine_resid,speed_rms,affine_resid__speed_rms,19,1471,-0.08818325630368262,-0.14894726819412613,-0.0006305014713821055,0.0006305014713821055,0.5263157894736842,94
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1471,0.08838788253401073,-0.04134277873382235,0.16856284253753018,0.16856284253753018,0.7368421052631579,95
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1471,-0.11689515277377116,0.010897626308163988,-0.06522860825233726,0.06522860825233726,0.631578947368421,95
affine_pred,mean_speed,affine_pred__mean_speed,19,1471,0.05031752697382652,-0.05264555859760842,0.05809484558963535,0.05809484558963535,0.5789473684210527,95
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1471,-0.01605196993061278,-0.04033587001959904,0.04705231121773512,0.04705231121773512,0.5789473684210527,95
affine_pred,speed_rms,affine_pred__speed_rms,19,1471,-0.027461220734293912,-0.020679895844474258,-0.04585686959572578,0.04585686959572578,0.5789473684210527,95
affine_resid,speed_rms,affine_resid__speed_rms,19,1471,0.021078818881745176,0.006453704605770369,-0.03884507217023682,0.03884507217023682,0.631578947368421,95
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1471,0.03187025608718623,0.007218673267141679,-0.03404331854208731,0.03404331854208731,0.631578947368421,95
raw,speed_rms,raw__speed_rms,19,1471,-0.071133215361711,0.06461156872792209,-0.025329324234073802,0.025329324234073802,0.5789473684210527,95
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1471,-0.011058373957533674,-0.023014135735444738,-0.025167230480358946,0.025167230480358946,0.5789473684210527,95
affine_resid,mean_speed,affine_resid__mean_speed,19,1471,-0.018592022274657283,-0.06149022358929082,0.02070888171308194,0.02070888171308194,0.5263157894736842,95
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1471,0.11432279036077342,0.14608374105992514,0.016717524000706113,0.016717524000706113,0.5789473684210527,95
raw,mean_speed,raw__mean_speed,19,1471,-0.01957756491664764,0.010832628940403016,0.008898695582918448,0.008898695582918448,0.5263157894736842,95
affine_resid,mean_speed,affine_resid__mean_speed,19,1471,0.004217161184072629,0.015979239488649655,-0.1158479844745649,0.1158479844745649,0.631578947368421,96
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1471,-0.008463994211769237,0.05689782019679458,-0.11105719468207492,0.11105719468207492,0.631578947368421,96
affine_resid,speed_rms,affine_resid__speed_rms,19,1471,-0.00917870101041074,0.07163111364857962,-0.09822061913997109,0.09822061913997109,0.5789473684210527,96
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1471,0.05782990325895998,0.12953055222382256,-0.0881260475875984,0.0881260475875984,0.631578947368421,96
affine_pred,mean_speed,affine_pred__mean_speed,19,1471,-0.01803415279897752,0.04760233788740778,-0.059258975669504166,0.059258975669504166,0.5789473684210527,96
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1471,0.07925032186325265,0.015579780503745477,0.04850099526081908,0.04850099526081908,0.5263157894736842,96
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1471,0.03965591683025935,-0.025937627795620366,-0.0355120962287469,0.0355120962287469,0.631578947368421,96
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1471,0.03547515204690316,-0.04619592539478945,-0.024119245819141877,0.024119245819141877,0.5263157894736842,96
affine_pred,speed_rms,affine_pred__speed_rms,19,1471,-0.03323097947286913,0.010630160228468584,0.016076442260026858,0.016076442260026858,0.5263157894736842,96
raw,speed_rms,raw__speed_rms,19,1471,0.038232308815885685,-0.007895344668435111,0.0141185133749539,0.0141185133749539,0.5263157894736842,96
raw,mean_speed,raw__mean_speed,19,1471,-0.03803483660724081,0.011794084120385628,-0.009177883039256263,0.009177883039256263,0.5263157894736842,96
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1471,-0.020245316823156334,0.04681673646287385,0.003404865063336579,0.003404865063336579,0.5263157894736842,96
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1471,0.06641006109378306,0.12036024941168336,-0.23858190582410832,0.23858190582410832,0.5789473684210527,97
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1471,-0.038166857007720045,-0.050017222760809804,0.11820553530143088,0.11820553530143088,0.5263157894736842,97
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1471,0.015064504292468736,-0.08042583780861669,0.11206288460461128,0.11206288460461128,0.631578947368421,97
affine_resid,speed_rms,affine_resid__speed_rms,19,1471,0.02033777994586461,-0.08055333750798557,0.1068656449152682,0.1068656449152682,0.6842105263157895,97
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1471,0.05148246019160174,-0.01288952749332678,0.09295508685605336,0.09295508685605336,0.5263157894736842,97
affine_pred,mean_speed,affine_pred__mean_speed,19,1471,0.10576174030893531,0.024608634430482113,-0.08767084137527228,0.08767084137527228,0.5263157894736842,97
raw,speed_rms,raw__speed_rms,19,1471,0.13017342102230492,0.04525584691635465,0.03961074353268962,0.03961074353268962,0.5263157894736842,97
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1471,0.05751365371696705,0.005684368654539862,-0.030781003086619685,0.030781003086619685,0.5263157894736842,97
raw,mean_speed,raw__mean_speed,19,1471,0.09891105708009848,-0.016582822734347906,0.026490721321641986,0.026490721321641986,0.5263157894736842,97
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1471,0.09693430469222952,0.01780987080313229,-0.025761000102123205,0.025761000102123205,0.5263157894736842,97
affine_resid,mean_speed,affine_resid__mean_speed,19,1471,-0.029723363347015808,-0.014846084407848383,0.0255196036029553,0.0255196036029553,0.5263157894736842,97
affine_pred,speed_rms,affine_pred__speed_rms,19,1471,0.16347635915436062,0.10620576134440957,0.01233116284001197,0.01233116284001197,0.5263157894736842,97
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1470,-0.024284093612473353,0.09356420064454946,-0.12992054785239238,0.12992054785239238,0.631578947368421,98
raw,speed_rms,raw__speed_rms,19,1470,-0.05586389662849023,0.0449335179068798,-0.12153573933703898,0.12153573933703898,0.631578947368421,98
raw,mean_speed,raw__mean_speed,19,1470,-0.06337964574671878,-0.06267588535889293,-0.11465732301773679,0.11465732301773679,0.5263157894736842,98
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1470,0.0012971538126235194,0.05261704376813169,-0.07547106489387254,0.07547106489387254,0.631578947368421,98
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1470,-0.029487362490780156,-0.08290887078705089,0.046584282590867276,0.046584282590867276,0.5263157894736842,98
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1470,-0.037598222478828235,-0.04237660608421667,0.036027957455098895,0.036027957455098895,0.5789473684210527,98
affine_pred,speed_rms,affine_pred__speed_rms,19,1470,-0.049777307008512156,-0.019479096001708995,0.030880750621089137,0.030880750621089137,0.5263157894736842,98
affine_pred,mean_speed,affine_pred__mean_speed,19,1470,-0.0491267244620503,0.03117341618608739,-0.029622081194328756,0.029622081194328756,0.5263157894736842,98
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1470,0.0005883478041929235,-0.00449915003956497,-0.029539897016696792,0.029539897016696792,0.5789473684210527,98
affine_resid,speed_rms,affine_resid__speed_rms,19,1470,-0.03985581657044934,-0.04557538181914067,0.027496597574578424,0.027496597574578424,0.5263157894736842,98
affine_resid,mean_speed,affine_resid__mean_speed,19,1470,-0.07678784276032188,-0.040771677783375926,0.012483196848068034,0.012483196848068034,0.5263157894736842,98
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1470,-0.0533633804629885,-0.025753987174559956,0.003302640349263475,0.003302640349263475,0.5263157894736842,98
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1471,0.003172842537165488,0.03175740922326821,0.18477560109720548,0.18477560109720548,0.5789473684210527,99
affine_pred,mean_speed,affine_pred__mean_speed,19,1471,0.016752497127217783,-0.0903352889212902,0.15091449790840206,0.15091449790840206,0.7368421052631579,99
raw,speed_rms,raw__speed_rms,19,1471,-0.031894490631772965,0.019239279907748777,0.14093359117363757,0.14093359117363757,0.5789473684210527,99
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1471,0.03566592304763115,0.02335012414584771,0.13527965816543308,0.13527965816543308,0.5789473684210527,99
affine_pred,speed_rms,affine_pred__speed_rms,19,1471,0.09711501794965952,-0.08103082647622158,0.12987395861408302,0.12987395861408302,0.7368421052631579,99
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1471,0.05507590665625195,-0.03232755803332125,0.11227487994023219,0.11227487994023219,0.7368421052631579,99
affine_resid,mean_speed,affine_resid__mean_speed,19,1471,-0.003248008060558513,0.017061797345285845,0.08276967587012977,0.08276967587012977,0.5263157894736842,99
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1471,0.10185345001138947,0.010445533236200386,0.0566318749092265,0.0566318749092265,0.5263157894736842,99
raw,mean_speed,raw__mean_speed,19,1471,-0.060883198239290254,-0.015357628615872643,-0.04436773582975512,0.04436773582975512,0.5263157894736842,99
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1471,0.018830116680831677,0.02759246592291903,-0.01669464200182781,0.01669464200182781,0.5263157894736842,99
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1471,0.04753148638009341,0.001973098065077006,-0.009613129070771859,0.009613129070771859,0.5263157894736842,99
