variable,component,relative_time_sec,median_aligned_resid_z,q25_aligned_resid_z,q75_aligned_resid_z,n_events
mean_speed,affine_pred,0.5,-0.032586630796135385,-0.7223112713651646,0.6242842461768731,1471
mean_speed,affine_resid,-0.5,0.0060083521697214416,-0.6799906051853304,0.7030802740384086,1471
mean_speed,affine_resid,-0.45,-0.031415665165573876,-0.761238712292973,0.6971029507011356,1471
mean_speed,affine_resid,-0.4,-0.09499340455798196,-0.7635446536956458,0.5704401935387944,1471
mean_speed,affine_resid,-0.35,-0.12031923924564639,-0.7739334843062992,0.5390406114649863,1471
mean_speed,affine_resid,-0.3,-0.13595842959701393,-0.8196483991889036,0.4806142731124612,1471
mean_speed,affine_resid,-0.25,-0.18469197085585654,-0.8614615164976598,0.4766734347671395,1471
mean_speed,affine_resid,-0.2,-0.16920204789478366,-0.852751635460952,0.494555698582895,1471
mean_speed,affine_resid,-0.15,-0.14087623618049128,-0.8204453444623054,0.5281271869567352,1471
mean_speed,affine_resid,-0.1,-0.13439767100061303,-0.7768152845197192,0.5351172179200023,1471
mean_speed,affine_resid,-0.05,-0.054245511675222846,-0.7048796428906248,0.6181641613221518,1471
mean_speed,affine_resid,-0.0,-0.0031687606786390834,-0.7054224312661461,0.7208688213867942,1471
mean_speed,affine_resid,0.05,0.10269925889143224,-0.5800049821070906,0.7782487918731589,1471
mean_speed,affine_resid,0.1,0.14770262383953253,-0.5167149332474819,0.8650373698991103,1471
mean_speed,affine_resid,0.15,0.2509355879634085,-0.4945495133389863,0.8742393738469332,1471
mean_speed,affine_resid,0.2,0.20281419596587033,-0.4797946313304192,0.8463592520390084,1471
mean_speed,affine_resid,0.25,0.16078485924993047,-0.509125746548331,0.775927342918445,1471
mean_speed,affine_resid,0.3,0.08260758449786117,-0.603628240247497,0.7655914701257364,1471
mean_speed,affine_resid,0.35,0.05472418397344401,-0.5812478316126051,0.7166514508528928,1471
mean_speed,affine_resid,0.4,0.01218806812154209,-0.626593652849221,0.7252534795072406,1471
mean_speed,affine_resid,0.45,-0.034043489672956895,-0.7118349812987945,0.6383614120971906,1471
mean_speed,affine_resid,0.5,-0.08800316117422034,-0.7618170585044081,0.6253199858975659,1471
tangential_speed_mean,raw,-0.5,-0.060697722296670045,-0.6741526859803817,0.6299714574277063,1471
tangential_speed_mean,raw,-0.45,-0.09996012734920691,-0.7640741925744677,0.5864151087158125,1471
tangential_speed_mean,raw,-0.4,-0.12226165593637167,-0.7682682476493919,0.5359634418856496,1471
tangential_speed_mean,raw,-0.35,-0.16040652252984614,-0.8109004495184048,0.5385684510530293,1471
tangential_speed_mean,raw,-0.3,-0.1631186754433484,-0.8357331875980911,0.5128475314051086,1471
tangential_speed_mean,raw,-0.25,-0.16422976107501416,-0.8326270312769789,0.46660807513478614,1471
tangential_speed_mean,raw,-0.2,-0.17169807669105036,-0.8429077187919305,0.49509362328392903,1471
tangential_speed_mean,raw,-0.15,-0.16288387765941736,-0.8398941930760646,0.5242406578021742,1471
tangential_speed_mean,raw,-0.1,-0.04044944664327911,-0.7775556784277204,0.6140276384978499,1471
tangential_speed_mean,raw,-0.05,-0.01907219893776185,-0.6816284141351079,0.7031017585656774,1471
tangential_speed_mean,raw,-0.0,0.03944799945317738,-0.6259383107511929,0.7391184334831078,1471
tangential_speed_mean,raw,0.05,0.13848144811077814,-0.5145513959488628,0.7682318828251133,1471
tangential_speed_mean,raw,0.1,0.14019123283814997,-0.508494367519932,0.8075002550257253,1471
tangential_speed_mean,raw,0.15,0.19937916340645226,-0.48120007927233266,0.8646642124698177,1471
tangential_speed_mean,raw,0.2,0.17585528861395666,-0.4886760849846312,0.8584738321643506,1471
tangential_speed_mean,raw,0.25,0.11461924150546222,-0.5729920541988521,0.8140074199410008,1471
tangential_speed_mean,raw,0.3,0.07438294244172483,-0.6040586923692217,0.7534463396179174,1471
tangential_speed_mean,raw,0.35,0.06351729306338566,-0.6256427600530673,0.735225456636647,1471
tangential_speed_mean,raw,0.4,0.04813832927872146,-0.6605576734062322,0.6898511055440291,1471
tangential_speed_mean,raw,0.45,-0.04211670752585632,-0.7125510895443063,0.6521091726659289,1471
tangential_speed_mean,raw,0.5,-0.09467316243428467,-0.7357945861663091,0.6154690439879897,1471
tangential_speed_mean,affine_pred,-0.5,-0.02142937262488972,-0.7141483080863726,0.6519608401558271,1471
tangential_speed_mean,affine_pred,-0.45,-0.023623113372656268,-0.6886132588305872,0.7058347913561912,1471
tangential_speed_mean,affine_pred,-0.4,-0.022959131902336526,-0.6638549979232438,0.6944637970968068,1471
tangential_speed_mean,affine_pred,-0.35,-0.01741828571703661,-0.6747054142570058,0.6856563797891568,1471
tangential_speed_mean,affine_pred,-0.3,-0.05208218955883544,-0.6815957130493584,0.6348523137768574,1471
tangential_speed_mean,affine_pred,-0.25,-0.05835672777385819,-0.7678404341114655,0.6482901333859663,1471
tangential_speed_mean,affine_pred,-0.2,-0.09729620935238781,-0.7971341106679704,0.5888942640632486,1471
tangential_speed_mean,affine_pred,-0.15,-0.1233410841466013,-0.7659997211861149,0.5522902831770893,1471
tangential_speed_mean,affine_pred,-0.1,-0.06344346479602443,-0.7311634652386388,0.6421187218581861,1471
tangential_speed_mean,affine_pred,-0.05,-0.03365744920379655,-0.6935657322782409,0.6429573611338375,1471
tangential_speed_mean,affine_pred,-0.0,0.0058193780779597385,-0.6344914279665295,0.6683243122615947,1471
tangential_speed_mean,affine_pred,0.05,0.06649064034228302,-0.5789709668086533,0.7518662003345892,1471
tangential_speed_mean,affine_pred,0.1,0.10891266075935276,-0.6087422420910045,0.744788279877534,1471
tangential_speed_mean,affine_pred,0.15,0.07551166888201123,-0.6227213565210097,0.8079628264993828,1471
tangential_speed_mean,affine_pred,0.2,0.0577364271826326,-0.6588401207798469,0.7525951380503966,1471
tangential_speed_mean,affine_pred,0.25,0.03930529208961999,-0.6264981916068804,0.7148347659145712,1471
tangential_speed_mean,affine_pred,0.3,0.03178058683588643,-0.6568721807212173,0.7311654389701724,1471
tangential_speed_mean,affine_pred,0.35,0.009494741336132359,-0.6042108392617891,0.6637681763453875,1471
tangential_speed_mean,affine_pred,0.4,-0.015380849046620963,-0.6417432198668812,0.6636711907048152,1471
tangential_speed_mean,affine_pred,0.45,-0.02186635568672763,-0.666341205630593,0.6356695357563927,1471
tangential_speed_mean,affine_pred,0.5,-0.012748704040832746,-0.7312923624762127,0.6547518118795574,1471
tangential_speed_mean,affine_resid,-0.5,-0.012663711150002328,-0.6562422081827421,0.6756581758203805,1471
tangential_speed_mean,affine_resid,-0.45,-0.01968783251727975,-0.723676043266179,0.6208559225326901,1471
tangential_speed_mean,affine_resid,-0.4,-0.09352657858716718,-0.7382540224003807,0.5505790336953331,1471
tangential_speed_mean,affine_resid,-0.35,-0.13204143490067588,-0.7648520088897404,0.5201621287562359,1471
tangential_speed_mean,affine_resid,-0.3,-0.16099533026577334,-0.8135559814064117,0.4905559162769499,1471
tangential_speed_mean,affine_resid,-0.25,-0.18378517613178116,-0.8081095491253579,0.5097385979780272,1471
tangential_speed_mean,affine_resid,-0.2,-0.13969284497961226,-0.8321600793551038,0.5470378511303409,1471
tangential_speed_mean,affine_resid,-0.15,-0.14654938651145175,-0.8049658132373266,0.5336897668669058,1471
tangential_speed_mean,affine_resid,-0.1,-0.07029930116137305,-0.756983036204019,0.5703652602147992,1471
tangential_speed_mean,affine_resid,-0.05,-0.020554106972318534,-0.6870948958288917,0.629613605295406,1471
tangential_speed_mean,affine_resid,-0.0,0.0057889019017778,-0.6402800521684346,0.6914354704682683,1471
tangential_speed_mean,affine_resid,0.05,0.08475828905488564,-0.589147581982226,0.7387775239659806,1471
tangential_speed_mean,affine_resid,0.1,0.08589570858631958,-0.5585630555407637,0.7980131085888444,1471
tangential_speed_mean,affine_resid,0.15,0.17548520246480723,-0.5336079062819914,0.8635322066620443,1471
tangential_speed_mean,affine_resid,0.2,0.1400155803571236,-0.5124578762547629,0.8276597561552943,1471
tangential_speed_mean,affine_resid,0.25,0.09669934293186654,-0.552713994810459,0.7650033103924339,1471
tangential_speed_mean,affine_resid,0.3,0.05114664563313236,-0.5777960283149242,0.7169651791382279,1471
tangential_speed_mean,affine_resid,0.35,0.051785762966023635,-0.6125345762429844,0.7189345932591621,1471
tangential_speed_mean,affine_resid,0.4,0.01709861013164728,-0.606199804036074,0.7135044511748011,1471
tangential_speed_mean,affine_resid,0.45,-0.03779330278737781,-0.7005929190203237,0.6870494082106395,1471
tangential_speed_mean,affine_resid,0.5,-0.039230069011372784,-0.7329223050581671,0.6687322995517543,1471
