variable,family,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
radius_resid_speed_corr,edge_core,19,1470,0.059625445128949406,0.08598042909346099,0.07276522243020911,0.07276522243020911,0.5789473684210527,49
radius_resid_tangential_corr,edge_core,19,1470,0.0032740968570438983,-0.031217637220439243,-0.05468711705566304,0.05468711705566304,0.5263157894736842,49
edge_minus_core_resid_tangential,edge_core,19,1470,0.022327708394449725,-0.008360999007041181,-0.04635030161110709,0.04635030161110709,0.5263157894736842,49
resid_radial_velocity_mean,radial,19,1470,-0.06915804750018606,0.010630726238897215,-0.027360896070759665,0.027360896070759665,0.5263157894736842,49
resid_tangential_fraction,tangential_swirl,19,1470,-0.058226298045905484,-0.058198572707840346,-0.02535963495012658,0.02535963495012658,0.5789473684210527,49
resid_inward_fraction,radial,19,1470,-0.0356488579545457,-0.015515561173063908,-0.019785811945552373,0.019785811945552373,0.5263157894736842,49
resid_radial_abs_mean,radial,19,1470,0.0002255339025874492,0.05314142880913775,0.0010602826336204574,0.0010602826336204574,0.5263157894736842,49
resid_tangential_speed_mean,tangential_swirl,19,1471,0.02319359751672456,-0.0826557683936433,0.13321277131153347,0.13321277131153347,0.631578947368421,50
resid_radial_velocity_mean,radial,19,1471,0.04296085138222246,-0.09511994728585073,0.12595517161103958,0.12595517161103958,0.5789473684210527,50
resid_inward_fraction,radial,19,1471,0.03689353171579221,-0.11688840606874679,0.12499947202797237,0.12499947202797237,0.6842105263157895,50
resid_speed_rms,residual_intensity,19,1471,0.009005622117337332,0.012583965535834823,-0.12293816728471099,0.12293816728471099,0.5789473684210527,50
resid_velocity_cov_trace,residual_intensity,19,1471,0.01831045190608456,0.013645740087976165,-0.10945719284006249,0.10945719284006249,0.5789473684210527,50
radius_resid_speed_corr,edge_core,19,1471,0.03742316354989142,-0.046912378381935224,0.09211762556783866,0.09211762556783866,0.631578947368421,50
edge_minus_core_resid_speed,edge_core,19,1471,-0.002972459492662699,-0.029211393322137735,-0.07051080147079782,0.07051080147079782,0.5789473684210527,50
resid_tangential_fraction,tangential_swirl,19,1471,-0.005122067063538516,-0.07287495220848947,0.062391788885558686,0.062391788885558686,0.6842105263157895,50
resid_polarization,residual_order,19,1471,0.04641281904276501,-0.07970952009966428,0.059422230177312546,0.059422230177312546,0.631578947368421,50
resid_radial_abs_mean,radial,19,1471,0.03238606119244325,-0.0027544166834706507,0.0351404778759139,0.0351404778759139,0.5789473684210527,50
edge_minus_core_resid_tangential,edge_core,19,1471,-0.10523251421205158,-0.08551727240991132,-0.03509065330366601,0.03509065330366601,0.5263157894736842,50
radius_resid_tangential_corr,edge_core,19,1471,-0.12646595976897435,-0.10859162662507338,0.005244512867041251,0.005244512867041251,0.5789473684210527,50
resid_radial_abs_mean,radial,19,1470,0.07995607016687518,-0.006406234692754809,0.21673425194454438,0.21673425194454438,0.631578947368421,51
resid_radial_velocity_mean,radial,19,1470,-0.12545830005546676,0.006903894912684283,-0.20539233275528102,0.20539233275528102,0.6842105263157895,51
radius_resid_speed_corr,edge_core,19,1470,0.07130800958219222,-0.019835710747027044,0.16668176030424925,0.16668176030424925,0.631578947368421,51
resid_inward_fraction,radial,19,1470,0.028436306818181767,-0.06125264677882716,0.13058605124618083,0.13058605124618083,0.6842105263157895,51
edge_minus_core_resid_tangential,edge_core,19,1470,-0.039809218341055164,0.0028341099714918674,0.09364221995276259,0.09364221995276259,0.5789473684210527,51
radius_resid_tangential_corr,edge_core,19,1470,0.039040618682760264,0.0006543148918066177,0.07904153900806787,0.07904153900806787,0.5789473684210527,51
resid_tangential_fraction,tangential_swirl,19,1470,0.019096825372654933,-0.04896955418638377,0.03976591090623305,0.03976591090623305,0.5263157894736842,51
edge_minus_core_resid_speed,edge_core,19,1470,0.01665219083608771,0.04415588579603952,-0.03072985576990897,0.03072985576990897,0.5263157894736842,51
resid_polarization,residual_order,19,1470,-0.016849535301776908,0.0034867374671440077,-0.028822827593216513,0.028822827593216513,0.5789473684210527,51
resid_velocity_cov_trace,residual_intensity,19,1470,-0.013670036416915297,-0.08736617354139486,0.026055294284596103,0.026055294284596103,0.5263157894736842,51
resid_speed_rms,residual_intensity,19,1470,-0.016078070806941215,0.04907197580736776,0.015604434227407427,0.015604434227407427,0.5263157894736842,51
resid_tangential_speed_mean,tangential_swirl,19,1470,0.04541452697842241,0.1033155498382568,0.004641768333359664,0.004641768333359664,0.5263157894736842,51
resid_velocity_cov_trace,residual_intensity,19,1470,0.04675508252266547,-0.1549188603820904,0.2383616685541084,0.2383616685541084,0.6842105263157895,52
radius_resid_speed_corr,edge_core,19,1470,-0.12477623445745589,0.0857631804254575,-0.2237469018637529,0.2237469018637529,0.6842105263157895,52
resid_speed_rms,residual_intensity,19,1470,-0.007217022045182264,-0.1493020499919646,0.19691311914262224,0.19691311914262224,0.6842105263157895,52
edge_minus_core_resid_tangential,edge_core,19,1470,0.010989383591574621,-0.04140977920379543,0.11230032919406374,0.11230032919406374,0.631578947368421,52
resid_inward_fraction,radial,19,1470,-0.035322319945084314,0.0666735191596579,-0.10153328375561649,0.10153328375561649,0.7894736842105263,52
edge_minus_core_resid_speed,edge_core,19,1470,-0.013769632536345403,-0.058247235455639035,-0.10120769090121007,0.10120769090121007,0.7368421052631579,52
resid_radial_velocity_mean,radial,19,1470,-0.03346997309597832,-0.0380841401968558,-0.07588199952772273,0.07588199952772273,0.5789473684210527,52
resid_polarization,residual_order,19,1470,0.014348707372986214,0.0660205059430995,-0.055255882367249876,0.055255882367249876,0.5263157894736842,52
resid_tangential_speed_mean,tangential_swirl,19,1470,0.057601392611531466,-0.06807086820513086,0.050832317330885,0.050832317330885,0.5263157894736842,52
radius_resid_tangential_corr,edge_core,19,1470,0.027978737815070834,-0.03029624940252662,0.024301218683370318,0.024301218683370318,0.5263157894736842,52
resid_tangential_fraction,tangential_swirl,19,1470,-0.002401131651603605,0.10770576323022518,0.020205691184257746,0.020205691184257746,0.5263157894736842,52
