ob,k,lag_sec,axis,source,n_events,b3_event_direction_abs_z,local_event_direction_abs_z,local_non_event_direction_abs_median_z,local_event_minus_non_event_direction_z,p_non_event_direction_ge_event,local_to_b3_direction_ratio,event_conditioned_local_gate,geometry_ladder_reading
18,10,0.1,scale,cached_4081c,103,0.6420142209489225,0.4792083872029317,0.1441479397465424,0.3350604474563893,0.1,0.7464139758378603,True,local_nonaffine_signal_survives_pilot
18,12,0.1,scale,computed_4082,103,0.6420142209489225,0.28989289182989003,0.18525256916090524,0.10464032266898479,0.275,0.45153655849151886,True,local_nonaffine_signal_survives_pilot
18,8,0.05,timing,computed_4082,103,0.6420142209489225,0.5240487304430539,0.19567936079967638,0.3283693696433775,0.1,0.8162572001419051,True,local_nonaffine_signal_survives_pilot
18,8,0.15,timing,computed_4082,103,0.6420142209489225,0.37106211879072326,0.21748701790935535,0.15357510088136792,0.175,0.5779655756569982,True,local_nonaffine_signal_survives_pilot
19,8,0.1,both,cached_4081c,143,0.520367064375636,0.7096445189690911,0.1426477620887658,0.5669967568803252,0.0,1.3637383446251738,True,local_nonaffine_signal_survives_pilot
19,6,0.1,scale,computed_4082,143,0.520367064375636,0.8559267535043875,0.10313284230401223,0.7527939112003753,0.0,1.6448518980181306,True,local_nonaffine_signal_survives_pilot
19,10,0.1,scale,cached_4081c,143,0.520367064375636,0.882306373987572,0.165306808571323,0.716999565416249,0.0,1.695546152687834,True,local_nonaffine_signal_survives_pilot
19,12,0.1,scale,computed_4082,143,0.520367064375636,0.65644503986543,0.14506925603187337,0.5113757838335566,0.0,1.2615038206790963,True,local_nonaffine_signal_survives_pilot
19,8,0.05,timing,computed_4082,143,0.520367064375636,0.5278852516077867,0.11605009862824184,0.4118351529795448,0.0,1.014447853730273,True,local_nonaffine_signal_survives_pilot
19,8,0.15,timing,computed_4082,143,0.520367064375636,0.7619167085301815,0.20609941439142138,0.55581729413876,0.0,1.4641908773461088,True,local_nonaffine_signal_survives_pilot
