partition_id,ulam_cell,spectral_set,eigenvector_value,stationary_mass
eig2,40,high,0.01802731033639844,0.01718009433692468
eig2,41,high,0.022048405978069698,0.015414536723806811
eig2,42,high,0.03386108511457212,0.014531284173581608
eig2,43,high,0.036584671219228176,0.011316370859498041
eig2,44,high,0.11578393595116974,0.0007737704698590682
eig2,45,high,0.11088424174904284,0.0008341381757460312
eig2,46,high,0.13818016656727009,0.0005798623982579924
eig2,47,high,0.1633961807137508,0.00043073820538795454
eig2,58,high,0.01739067182263469,0.0008134223893378694
eig2,59,high,-0.004368433543212151,0.0004967088784311212
eig3,4,low,-0.11497345844422485,0.0007846576568644643
eig3,5,low,-0.02416150849990101,0.0012641223111345685
eig3,8,low,-0.15131470703725827,0.011073471488972513
eig3,9,low,-0.0455401010254955,0.010398455083881236
eig3,12,low,-0.13644253205706094,0.060200244695915325
eig3,13,low,-0.03087013639162042,0.05449408107948037
eig3,16,low,-0.1302641370062581,0.0011214091463925924
eig3,17,low,-0.03224257003003465,0.0011911736250499632
eig3,20,low,-0.1638222177316472,0.012312585869738553
eig3,21,low,-0.055941781291726396,0.012967057032202363
eig3,24,low,-0.18459585183830657,0.041366941671050796
eig3,25,low,-0.065304369665264,0.03591210465849574
eig3,28,low,-0.17946303449702433,0.014349380789152147
eig3,29,low,-0.06094138308506062,0.01328447316677275
eig3,32,low,-0.1654667918181244,0.008926489217757218
eig3,33,low,-0.06817646091233474,0.010011675493634551
eig3,36,low,-0.19077428976165603,0.03301706777031497
eig3,37,low,-0.08066095885409882,0.03623597847684739
eig3,40,low,-0.20319370565930792,0.01718009433692468
eig3,41,low,-0.09046004335886512,0.015414536723806811
eig3,44,low,-0.19289776247255344,0.0007737704698590682
eig3,45,low,-0.0538258305105526,0.0008341381757460312
eig3,48,low,-0.18361916985510776,0.036694007350708074
eig3,49,low,-0.07275439631564799,0.04413042237914341
eig3,52,low,-0.2062883467125822,0.011073085690855527
eig3,53,low,-0.08343642652212924,0.01255620946763303
eig3,56,low,-0.21899423223500727,0.0008463992173820203
eig3,57,low,-0.10993030391019738,0.001050119732678011
eig3,58,low,-0.012435006266806362,0.0008134223893378694
eig3,0,high,0.033082242153842395,5.9828942372347566e-05
