spectral_set,run_frames,run_duration_sec,partition_id,ob,dataset
low,63,0.6299999999999811,eig2,1,Ob1.txt
high,12,0.1199999999999964,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,394,3.939999999999882,eig2,1,Ob1.txt
low,2,0.0199999999999994,eig2,1,Ob1.txt
high,12,0.1199999999999964,eig2,1,Ob1.txt
low,3,0.0299999999999991,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,4,0.0399999999999988,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,2,0.0199999999999994,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,6,0.0599999999999982,eig2,1,Ob1.txt
high,49,0.4899999999999853,eig2,1,Ob1.txt
low,107,1.0699999999999679,eig2,1,Ob1.txt
high,9,0.0899999999999973,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,18,0.1799999999999946,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,155,1.5499999999999534,eig2,1,Ob1.txt
low,74,0.7399999999999778,eig2,1,Ob1.txt
high,16,0.1599999999999952,eig2,1,Ob1.txt
low,14,0.1399999999999958,eig2,1,Ob1.txt
high,163,1.629999999999951,eig2,1,Ob1.txt
low,2,0.0199999999999994,eig2,1,Ob1.txt
high,146,1.4599999999999562,eig2,1,Ob1.txt
low,125,1.2499999999999625,eig2,1,Ob1.txt
high,8,0.0799999999999976,eig2,1,Ob1.txt
low,2,0.0199999999999994,eig2,1,Ob1.txt
high,4,0.0399999999999988,eig2,1,Ob1.txt
low,16,0.1599999999999952,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,2,0.0199999999999994,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,7,0.0699999999999979,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,25,0.2499999999999925,eig2,1,Ob1.txt
high,13,0.1299999999999961,eig2,1,Ob1.txt
low,12,0.1199999999999964,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,32,0.3199999999999904,eig2,1,Ob1.txt
high,12,0.1199999999999964,eig2,1,Ob1.txt
low,2,0.0199999999999994,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,11,0.1099999999999967,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,32,0.3199999999999904,eig2,1,Ob1.txt
high,112,1.1199999999999664,eig2,1,Ob1.txt
low,44,0.4399999999999868,eig2,1,Ob1.txt
high,245,2.4499999999999265,eig2,1,Ob1.txt
low,8,0.0799999999999976,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,3,0.0299999999999991,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,9,0.0899999999999973,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
