partition_id,ob,dataset,spectral_set,mass,known_fraction,lag_frames,actual_lag_sec,origin_count,retained_count,retention,retention_lift
eig3,19,Ob19.txt,high,0.4996332110703568,1.0,10,0.09999999999998,14984,12773,0.8524426054458089,0.35280939437545206
eig4,1,Ob1.txt,low,0.500955500955501,1.0,10,0.09999999999999701,5495,4206,0.7654231119199272,0.26446761096442617
eig4,1,Ob1.txt,high,0.49904449904449905,1.0,10,0.09999999999999701,5484,4188,0.7636761487964989,0.2646316497519999
eig4,2,Ob2.txt,low,0.5688135136954034,1.0,10,0.09999999999999701,8442,6436,0.7623785832741057,0.19356506957870223
eig4,2,Ob2.txt,high,0.43118648630459655,1.0,10,0.09999999999999701,6407,4397,0.6862806305603246,0.2550941442557281
eig4,3,Ob3.txt,low,0.49746497665110073,1.0,10,0.09999999999999701,7456,5543,0.7434281115879828,0.2459631349368821
eig4,3,Ob3.txt,high,0.5025350233488992,1.0,10,0.09999999999999701,7524,5618,0.7466772993088783,0.24414227595997906
eig4,4,Ob4.txt,low,0.522003745318352,1.0,10,0.09999999999999701,7805,6151,0.7880845611787316,0.26608081586037957
eig4,4,Ob4.txt,high,0.4779962546816479,1.0,10,0.09999999999999701,7137,5485,0.768530194759703,0.29053394007805505
eig4,5,Ob5.txt,low,0.451694858594638,1.0,10,0.09999999999999701,6753,5054,0.748408114911891,0.296713256317253
eig4,5,Ob5.txt,high,0.548305141405362,1.0,10,0.09999999999999701,8194,6496,0.7927752013668538,0.24447005996149174
eig4,6,Ob6.txt,low,0.42171085542771386,1.0,10,0.09999999999998,8420,6429,0.7635391923990499,0.341828336971336
