lag_sec,ob,dataset,spectral_set,mass,origin_count,retained_count,retention,retention_lift
1.0,13,Ob13.txt,high,0.5000250137575667,9948,5774,0.5804181745074387,0.08039316074987202
1.0,14,Ob14.txt,low,0.4986242433338336,9867,6509,0.6596736596736597,0.16104941633982606
1.0,14,Ob14.txt,high,0.5013757566661664,10022,6564,0.6549590900019956,0.1535833333358292
1.0,15,Ob15.txt,low,0.4972735004252339,9909,6140,0.619638712281764,0.12236521185653015
1.0,15,Ob15.txt,high,0.5027264995747661,9980,6280,0.6292585170340681,0.12653201745930198
1.0,16,Ob16.txt,low,0.49997498624243336,9994,5801,0.5804482689613768,0.08047328271894344
1.0,16,Ob16.txt,high,0.5000250137575667,9895,5802,0.5863567458312279,0.08633173207366118
1.0,17,Ob17.txt,low,0.5001000500250125,9897,5840,0.5900778013539456,0.08997775132893315
1.0,17,Ob17.txt,high,0.4998999499749875,9993,5936,0.5940158110677474,0.09411586109275988
1.0,18,Ob18.txt,low,0.49907449097003354,9891,5895,0.5959963603275705,0.096921869357537
1.0,18,Ob18.txt,high,0.5009255090299665,9998,5917,0.5918183636727345,0.09089285464276808
1.0,19,Ob19.txt,low,0.49899966655551853,14954,8487,0.5675404574027016,0.06854079084718312
1.0,19,Ob19.txt,high,0.5010003334444815,14936,8538,0.5716389930369576,0.07063865959247617
