target,covariate,covariate_family,n,spearman_rho,permutation_p_two_sided,theil_sen_slope,theil_sen_iqr_delta,loo_slope_min,loo_slope_max,loo_slope_sign_stability,interpretation
t1_predefined_pass_fraction,median_next_duration_sec,event_structure,19,-0.22283397324034815,0.35563221838908055,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,median_swarm_radius,raw_trajectory_quality,19,0.1908713053241824,0.43062846857657117,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,n_events,event_structure,19,0.1636025109795752,0.5006249687515624,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,event_rate_per_sec,event_structure,19,0.15229093509908168,0.535973201339933,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,median_dt_sec,raw_trajectory_quality,19,-0.16894562335650873,0.5462226888655567,nan,nan,nan,nan,nan,no strong association
t1_predefined_pass_fraction,median_track_span_sec,raw_trajectory_quality,19,0.1208174751786048,0.6191190440477976,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,median_track_length_frames,raw_trajectory_quality,19,0.1208174751786048,0.6211189440527973,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,unique_ids,raw_trajectory_quality,19,-0.09949674426473337,0.6852657367131644,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,q10_individuals_per_frame,raw_trajectory_quality,19,-0.09717189244042579,0.6887155642217889,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,swarm_radius_cv,raw_trajectory_quality,19,0.09035928815878846,0.7131643417829109,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,duration_sec,raw_trajectory_quality,19,0.05631124159993446,0.8151092445377731,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,median_individuals_per_frame,raw_trajectory_quality,19,-0.05385672721687879,0.8218089095545222,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,n_frames,raw_trajectory_quality,19,0.05314498665912244,0.8271086445677716,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,file_size_mb,raw_trajectory_quality,19,-0.04264146182774287,0.8605069746512675,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,q90_swarm_radius,raw_trajectory_quality,19,0.040610916026421785,0.8711064446777661,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,median_prev_duration_sec,event_structure,19,0.0314872731578856,0.8970051497425129,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,q90_individuals_per_frame,raw_trajectory_quality,19,-0.017297614361122916,0.9464026798660067,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,track_continuity_fraction,raw_trajectory_quality,19,nan,nan,nan,nan,nan,nan,nan,no strong association
