variant,ob,dataset,variable,phase,n_events,real_phase_aligned_z,null_phase_median_aligned_z,null_phase_abs_median_z,event_minus_null_phase_z,abs_event_minus_abs_null_z,p_null_abs_ge_real_abs,phase_gate
none_z,15,Ob15.txt,all_tangential,early_pre,96,-0.18838225293412658,0.01910740208357808,0.08323617465054862,-0.20748965501770467,0.10514607828357796,0.075,True
none_z,15,Ob15.txt,all_tangential,near_pre,96,-0.2549644272411279,0.018233547016390086,0.07651693588194902,-0.27319797425751796,0.17844749135917887,0.05,True
none_z,15,Ob15.txt,all_tangential,near_post,96,0.17619225170145963,-0.009008869609199593,0.06437195347888296,0.18520112131065922,0.11182029822257668,0.0,True
none_z,15,Ob15.txt,all_tangential,late_post,96,0.18306522054771374,-0.0012583648736026708,0.0866499529442317,0.1843235854213164,0.09641526760348204,0.075,True
none_z,16,Ob16.txt,all_tangential,early_pre,84,-0.1461693769812835,0.013785836424376207,0.08686309072812434,-0.15995521340565969,0.059306286253159146,0.2,True
none_z,16,Ob16.txt,all_tangential,near_pre,84,-0.16498954528049042,0.025176152180038942,0.08503055589348069,-0.19016569746052936,0.07995898938700974,0.15,True
none_z,16,Ob16.txt,all_tangential,near_post,84,0.14532273630611314,0.020518916567371218,0.0522259102768187,0.12480381973874193,0.09309682602929445,0.075,True
none_z,16,Ob16.txt,all_tangential,late_post,84,0.10628178209849146,0.005014141420225066,0.05531562524688521,0.1012676406782664,0.05096615685160625,0.2,True
none_z,17,Ob17.txt,all_tangential,early_pre,122,-0.01925137258162811,0.007498127131476465,0.03662126697268245,-0.026749499713104575,-0.01736989439105434,0.7,False
none_z,17,Ob17.txt,all_tangential,near_pre,122,-0.16471628039700742,-0.018871860387422605,0.0678930149525675,-0.1458444200095848,0.09682326544443992,0.075,True
none_z,17,Ob17.txt,all_tangential,near_post,122,0.09477012813103382,-0.0035255240475480752,0.04978311563533706,0.0982956521785819,0.04498701249569676,0.325,True
none_z,17,Ob17.txt,all_tangential,late_post,122,-0.1420091481074519,0.010183960325711762,0.0717411155355526,-0.15219310843316367,0.07026803257189931,0.05,True
none_z,18,Ob18.txt,all_tangential,early_pre,103,0.0223328239462659,0.0035631659115729257,0.06019234155713742,0.018769658034692976,-0.03785951761087152,0.775,False
none_z,18,Ob18.txt,all_tangential,near_pre,103,0.013607721304695064,-0.003215269787340568,0.053149930507683164,0.01682299109203563,-0.0395422092029881,0.875,False
none_z,18,Ob18.txt,all_tangential,near_post,103,0.06738264202301952,0.012570066518120118,0.046873375254500575,0.0548125755048994,0.020509266768518948,0.4,False
none_z,18,Ob18.txt,all_tangential,late_post,103,-0.0013077849460201463,-0.007264687764753214,0.04337144618503528,0.0059569028187330675,-0.042063661239015136,0.95,False
none_z,19,Ob19.txt,all_tangential,early_pre,143,-0.2037473867721673,-0.019089256977335736,0.03755667411664917,-0.18465812979483157,0.16619071265551813,0.025,True
none_z,19,Ob19.txt,all_tangential,near_pre,143,-0.2918717542679048,0.02026649702164527,0.045832515030793164,-0.3121382512895501,0.24603923923711163,0.0,True
none_z,19,Ob19.txt,all_tangential,near_post,143,0.09770348577291313,0.016648767293384825,0.04822257057735734,0.0810547184795283,0.04948091519555579,0.25,True
