replicate,n_both,n_any,n_obs_tested,n_obs_with_valid_b3,n_obs_with_valid_k8,n_obs_with_valid_k10
717,0,9,19,19,19,19
718,5,9,19,19,19,19
719,4,8,19,19,19,19
720,4,12,19,19,19,19
721,4,8,19,19,19,19
722,9,12,19,19,19,19
723,4,13,19,19,19,19
724,5,8,19,19,19,19
725,4,10,19,19,19,19
726,6,11,19,19,19,19
727,4,7,19,19,19,19
728,7,12,19,19,19,19
729,3,11,19,19,19,19
730,4,8,19,19,19,19
731,0,9,19,19,19,19
732,4,6,19,19,19,19
733,8,11,19,19,19,19
734,3,8,19,19,19,19
735,5,11,19,19,19,19
736,6,12,19,19,19,19
737,4,13,19,19,19,19
738,1,9,19,19,19,19
739,4,9,19,19,19,19
740,3,11,19,19,19,19
741,6,10,19,19,19,19
742,5,9,19,19,19,19
743,6,13,19,19,19,19
744,4,8,19,19,19,19
745,4,8,19,19,19,19
746,8,15,19,19,19,19
747,2,9,19,19,19,19
748,3,10,19,19,19,19
749,7,13,19,19,19,19
750,5,8,19,19,19,19
751,6,12,19,19,19,19
752,3,8,19,19,19,19
753,6,12,19,19,19,19
754,7,13,19,19,19,19
755,6,11,19,19,19,19
756,5,10,19,19,19,19
757,4,8,19,19,19,19
758,4,10,19,19,19,19
759,4,9,19,19,19,19
760,2,4,19,19,19,19
761,2,6,19,19,19,19
762,5,12,19,19,19,19
763,5,9,19,19,19,19
764,3,9,19,19,19,19
765,4,11,19,19,19,19
766,4,9,19,19,19,19
767,5,11,19,19,19,19
768,3,7,19,19,19,19
769,12,14,19,19,19,19
770,6,9,19,19,19,19
771,1,7,19,19,19,19
772,4,12,19,19,19,19
773,5,8,19,19,19,19
774,2,9,19,19,19,19
775,3,8,19,19,19,19
776,3,9,19,19,19,19
777,7,11,19,19,19,19
778,3,9,19,19,19,19
779,3,9,19,19,19,19
780,1,7,19,19,19,19
781,7,11,19,19,19,19
782,7,14,19,19,19,19
783,5,13,19,19,19,19
784,2,8,19,19,19,19
785,4,10,19,19,19,19
786,2,12,19,19,19,19
787,5,13,19,19,19,19
788,4,10,19,19,19,19
789,3,8,19,19,19,19
790,3,10,19,19,19,19
791,2,8,19,19,19,19
792,1,7,19,19,19,19
793,3,9,19,19,19,19
794,4,12,19,19,19,19
795,3,8,19,19,19,19
796,2,7,19,19,19,19
797,3,10,19,19,19,19
798,6,10,19,19,19,19
799,7,13,19,19,19,19
800,2,10,19,19,19,19
801,3,10,19,19,19,19
802,3,10,19,19,19,19
803,4,9,19,19,19,19
804,3,11,19,19,19,19
805,2,7,19,19,19,19
806,5,10,19,19,19,19
807,4,12,19,19,19,19
808,6,14,19,19,19,19
809,7,13,19,19,19,19
810,4,9,19,19,19,19
811,5,10,19,19,19,19
812,5,11,19,19,19,19
813,6,11,19,19,19,19
814,7,12,19,19,19,19
815,5,10,19,19,19,19
816,3,11,19,19,19,19
817,2,4,19,19,19,19
818,4,11,19,19,19,19
819,2,10,19,19,19,19
820,6,9,19,19,19,19
821,7,10,19,19,19,19
822,5,9,19,19,19,19
823,2,9,19,19,19,19
824,5,12,19,19,19,19
825,6,10,19,19,19,19
826,4,9,19,19,19,19
827,1,11,19,19,19,19
828,6,12,19,19,19,19
829,5,6,19,19,19,19
830,2,12,19,19,19,19
831,1,8,19,19,19,19
832,4,13,19,19,19,19
833,5,10,19,19,19,19
834,4,9,19,19,19,19
835,4,11,19,19,19,19
836,7,11,19,19,19,19
837,6,11,19,19,19,19
838,4,11,19,19,19,19
839,4,8,19,19,19,19
840,4,10,19,19,19,19
841,6,13,19,19,19,19
842,5,13,19,19,19,19
843,6,11,19,19,19,19
844,6,9,19,19,19,19
845,3,12,19,19,19,19
846,3,8,19,19,19,19
847,2,8,19,19,19,19
848,6,10,19,19,19,19
849,6,11,19,19,19,19
850,5,11,19,19,19,19
851,4,9,19,19,19,19
852,6,12,19,19,19,19
853,3,9,19,19,19,19
854,8,13,19,19,19,19
855,5,11,19,19,19,19
856,4,9,19,19,19,19
857,3,11,19,19,19,19
858,4,10,19,19,19,19
859,7,12,19,19,19,19
860,2,5,19,19,19,19
861,9,12,19,19,19,19
862,5,12,19,19,19,19
863,3,9,19,19,19,19
864,5,8,19,19,19,19
865,1,5,19,19,19,19
866,6,12,19,19,19,19
867,4,8,19,19,19,19
868,4,12,19,19,19,19
869,6,10,19,19,19,19
870,6,9,19,19,19,19
871,8,12,19,19,19,19
872,6,11,19,19,19,19
873,4,9,19,19,19,19
874,5,14,19,19,19,19
875,5,12,19,19,19,19
876,4,12,19,19,19,19
877,9,14,19,19,19,19
878,2,6,19,19,19,19
879,3,5,19,19,19,19
880,5,13,19,19,19,19
881,2,7,19,19,19,19
882,2,9,19,19,19,19
883,3,13,19,19,19,19
884,3,9,19,19,19,19
885,3,10,19,19,19,19
886,5,13,19,19,19,19
887,5,8,19,19,19,19
888,3,13,19,19,19,19
889,3,12,19,19,19,19
890,4,10,19,19,19,19
891,2,8,19,19,19,19
892,7,15,19,19,19,19
893,6,13,19,19,19,19
894,5,10,19,19,19,19
895,3,10,19,19,19,19
896,3,9,19,19,19,19
897,5,12,19,19,19,19
898,6,12,19,19,19,19
899,4,10,19,19,19,19
900,5,11,19,19,19,19
901,4,13,19,19,19,19
902,6,12,19,19,19,19
903,5,10,19,19,19,19
904,7,11,19,19,19,19
905,6,10,19,19,19,19
906,2,11,19,19,19,19
907,2,10,19,19,19,19
908,5,16,19,19,19,19
909,5,11,19,19,19,19
910,6,10,19,19,19,19
911,3,8,19,19,19,19
912,4,8,19,19,19,19
913,0,12,19,19,19,19
914,4,10,19,19,19,19
915,4,8,19,19,19,19
916,4,9,19,19,19,19
917,6,10,19,19,19,19
918,3,9,19,19,19,19
919,6,10,19,19,19,19
920,1,10,19,19,19,19
921,5,7,19,19,19,19
922,5,10,19,19,19,19
923,8,12,19,19,19,19
924,5,12,19,19,19,19
925,4,10,19,19,19,19
926,2,9,19,19,19,19
927,5,12,19,19,19,19
928,2,9,19,19,19,19
929,4,11,19,19,19,19
930,4,9,19,19,19,19
931,6,12,19,19,19,19
932,5,9,19,19,19,19
933,9,14,19,19,19,19
934,7,13,19,19,19,19
935,5,12,19,19,19,19
936,0,2,19,19,19,19
937,4,13,19,19,19,19
938,4,7,19,19,19,19
939,3,11,19,19,19,19
940,5,13,19,19,19,19
941,3,9,19,19,19,19
942,1,11,19,19,19,19
943,6,14,19,19,19,19
944,3,12,19,19,19,19
945,5,11,19,19,19,19
946,4,9,19,19,19,19
947,3,9,19,19,19,19
948,6,14,19,19,19,19
949,6,9,19,19,19,19
950,2,13,19,19,19,19
951,3,10,19,19,19,19
952,4,9,19,19,19,19
953,3,10,19,19,19,19
954,2,9,19,19,19,19
955,4,11,19,19,19,19
956,2,9,19,19,19,19
957,4,11,19,19,19,19
958,5,9,19,19,19,19
959,3,9,19,19,19,19
960,4,12,19,19,19,19
961,1,9,19,19,19,19
962,1,8,19,19,19,19
963,4,11,19,19,19,19
964,5,8,19,19,19,19
965,5,9,19,19,19,19
966,2,9,19,19,19,19
967,5,12,19,19,19,19
968,2,8,19,19,19,19
969,5,11,19,19,19,19
970,3,9,19,19,19,19
971,3,8,19,19,19,19
972,3,9,19,19,19,19
973,4,17,19,19,19,19
974,3,11,19,19,19,19
975,3,13,19,19,19,19
976,3,7,19,19,19,19
977,4,7,19,19,19,19
978,5,10,19,19,19,19
