ob,dataset,history_window_sec,history_feature,current_state,spearman_corr,pearson_corr,n
3,Ob3.txt,0.25,cos_theta_h,dCdt,0.6881972488683176,0.702238406571793,1419
3,Ob3.txt,0.25,cos_theta_h,R,-0.10398673316268763,-0.12763540638432871,1419
3,Ob3.txt,0.25,sin_theta_h,C,-0.1450899308607304,-0.14762469169721507,1419
3,Ob3.txt,0.25,sin_theta_h,dCdt,-0.5875642635531519,-0.6437430829752738,1419
3,Ob3.txt,0.25,sin_theta_h,R,0.14714069475761946,0.1558735941899689,1419
3,Ob3.txt,0.25,turning_proxy,C,-0.0326424517740998,-0.025329106356290376,1315
3,Ob3.txt,0.25,turning_proxy,dCdt,0.020091783318037345,-0.0021418896294940213,1315
3,Ob3.txt,0.25,turning_proxy,R,0.009539240080946042,0.007480635997962897,1315
3,Ob3.txt,0.5,dC_h,C,0.33525073720465776,0.3524372327957918,1493
3,Ob3.txt,0.5,dC_h,dCdt,0.6862547453361478,0.6990544557045673,1493
3,Ob3.txt,0.5,dC_h,R,-0.3371056092371908,-0.33435294135824534,1493
3,Ob3.txt,0.5,dR_h,C,-0.34113902822493647,-0.34045185720341725,1493
3,Ob3.txt,0.5,dR_h,dCdt,-0.6679510501544794,-0.6709715414874252,1493
3,Ob3.txt,0.5,dR_h,R,0.35901852950860597,0.3564526504164611,1493
3,Ob3.txt,0.5,path_length,C,0.028891869397722186,0.0851100195942058,1493
3,Ob3.txt,0.5,path_length,dCdt,-0.010456721055231667,0.03220179489267438,1493
3,Ob3.txt,0.5,path_length,R,-0.01222180498271663,-0.05388769411475635,1493
3,Ob3.txt,0.5,cos_theta_h,C,0.2611434807323986,0.2869199643093581,1476
3,Ob3.txt,0.5,cos_theta_h,dCdt,0.5392941365696549,0.5649839889331228,1476
3,Ob3.txt,0.5,cos_theta_h,R,-0.23684530865023373,-0.26468393606566115,1476
3,Ob3.txt,0.5,sin_theta_h,C,-0.25190707844101495,-0.2812150073484164,1476
3,Ob3.txt,0.5,sin_theta_h,dCdt,-0.4769900217276733,-0.5269838314674209,1476
3,Ob3.txt,0.5,sin_theta_h,R,0.28323709771873895,0.3150611874980625,1476
3,Ob3.txt,0.5,turning_proxy,C,-0.05882784966452979,-0.03888263519508109,1444
3,Ob3.txt,0.5,turning_proxy,dCdt,0.00485667352214525,-0.020971588131754555,1444
3,Ob3.txt,0.5,turning_proxy,R,0.02948654214361736,0.002064066035279619,1444
3,Ob3.txt,0.75,dC_h,C,0.4587845633620711,0.481957549049876,1490
3,Ob3.txt,0.75,dC_h,dCdt,0.5093034205975052,0.5283044057397313,1490
