ob,dataset,t,n_focals,neighbor_slots,unique_neighbors,neighbor_overlap_ratio,max_memberships_per_neighbor,fraction_multimembership_neighbors
1,Ob1.txt,28.97,24,192,78,2.4615384615384617,6,0.782051282051282
1,Ob1.txt,29.07,24,192,76,2.526315789473684,6,0.7631578947368421
1,Ob1.txt,29.17,24,192,80,2.4,8,0.65
1,Ob1.txt,29.27,24,192,80,2.4,6,0.7625
1,Ob1.txt,29.37,24,192,75,2.56,6,0.7866666666666666
1,Ob1.txt,29.47,24,192,74,2.5945945945945947,9,0.7297297297297297
1,Ob1.txt,29.57,24,192,75,2.56,8,0.6933333333333334
1,Ob1.txt,29.67,24,192,74,2.5945945945945947,6,0.7297297297297297
1,Ob1.txt,29.77,24,192,73,2.6301369863013697,7,0.7123287671232876
1,Ob1.txt,29.87,24,192,81,2.3703703703703702,6,0.7160493827160493
1,Ob1.txt,29.97,24,192,68,2.823529411764706,6,0.7647058823529411
1,Ob1.txt,30.07,24,192,73,2.6301369863013697,5,0.8082191780821918
1,Ob1.txt,30.17,24,192,77,2.493506493506493,5,0.6753246753246753
1,Ob1.txt,30.27,24,192,79,2.430379746835443,5,0.7088607594936709
1,Ob1.txt,30.37,24,192,77,2.493506493506493,7,0.7142857142857143
1,Ob1.txt,30.47,24,192,82,2.341463414634146,7,0.6951219512195121
1,Ob1.txt,30.57,24,192,82,2.341463414634146,6,0.6585365853658537
1,Ob1.txt,30.67,24,192,81,2.3703703703703702,6,0.6666666666666666
1,Ob1.txt,30.77,24,192,74,2.5945945945945947,8,0.7027027027027027
1,Ob1.txt,30.87,24,192,82,2.341463414634146,5,0.6951219512195121
1,Ob1.txt,30.97,24,192,78,2.4615384615384617,7,0.6923076923076923
1,Ob1.txt,31.07,24,192,79,2.430379746835443,6,0.6455696202531646
1,Ob1.txt,31.17,24,192,79,2.430379746835443,8,0.7468354430379747
1,Ob1.txt,31.27,24,192,76,2.526315789473684,7,0.7894736842105263
1,Ob1.txt,31.37,24,192,73,2.6301369863013697,7,0.7397260273972602
1,Ob1.txt,31.47,24,192,77,2.493506493506493,7,0.7532467532467533
1,Ob1.txt,31.57,24,192,76,2.526315789473684,7,0.7763157894736842
1,Ob1.txt,31.67,24,192,75,2.56,6,0.7466666666666667
1,Ob1.txt,31.77,24,192,79,2.430379746835443,5,0.7468354430379747
1,Ob1.txt,31.87,24,192,73,2.6301369863013697,6,0.7534246575342466
1,Ob1.txt,31.97,24,192,72,2.6666666666666665,7,0.7916666666666666
1,Ob1.txt,32.07,24,192,71,2.704225352112676,6,0.7464788732394366
1,Ob1.txt,32.17,24,192,69,2.782608695652174,6,0.7971014492753623
1,Ob1.txt,32.27,24,192,67,2.8656716417910446,8,0.7910447761194029
1,Ob1.txt,32.37,24,192,73,2.6301369863013697,6,0.684931506849315
1,Ob1.txt,32.47,24,192,77,2.493506493506493,7,0.7012987012987013
1,Ob1.txt,32.57,24,192,73,2.6301369863013697,7,0.7534246575342466
1,Ob1.txt,32.67,24,192,67,2.8656716417910446,7,0.7761194029850746
1,Ob1.txt,32.77,24,192,74,2.5945945945945947,6,0.7432432432432432
