ob,variable,n_events,phase,real_phase_aligned_z,null_phase_median_aligned_z,null_phase_abs_median_z,event_minus_null_phase_z,abs_event_minus_abs_null_z,p_null_abs_ge_real_abs,phase_gate
15,shell_core_tangential,96,near_post,0.22006066324824147,0.034413491886167644,0.0709368136201666,0.18564717136207382,0.14912384962807487,0.0,True
15,shell_core_tangential,96,late_post,0.2512324500134854,0.01858410192066791,0.05398438373892449,0.23264834809281748,0.19724806627456087,0.0,True
15,shell_middle_tangential,96,early_pre,-0.16206117943206605,-0.011233883346882134,0.06692437206198973,-0.15082729608518392,0.09513680737007632,0.025,False
15,shell_middle_tangential,96,near_pre,-0.09338971640416252,0.0037641534489267197,0.07832800972669321,-0.09715386985308924,0.015061706677469311,0.375,False
15,shell_middle_tangential,96,near_post,0.19388571271880445,0.02471364765802178,0.05828322952221532,0.16917206506078267,0.13560248319658913,0.0,True
15,shell_middle_tangential,96,late_post,-0.08026349195603749,0.00036382876863998745,0.06394179877965474,-0.08062732072467747,0.016321693176382754,0.3,False
15,shell_edge_tangential,96,early_pre,-0.3001534298892705,0.010911747242285521,0.05968718206497588,-0.311065177131556,0.24046624782429465,0.0,True
15,shell_edge_tangential,96,near_pre,-0.20442835363605105,-0.004755663220452037,0.06935008193672482,-0.199672690415599,0.13507827169932624,0.05,True
15,shell_edge_tangential,96,near_post,0.1652483201256489,-0.00034516753312263454,0.0503602859265146,0.16559348765877155,0.11488803419913432,0.05,False
15,shell_edge_tangential,96,late_post,0.06564553425859274,-0.004926384528710003,0.037160798105742895,0.07057191878730273,0.02848473615284984,0.225,False
15,shell_radius_corr_tangential,96,early_pre,-0.08846685492522438,0.034593363962622414,0.055089367455969485,-0.1230602188878468,0.033377487469254896,0.25,False
15,shell_radius_corr_tangential,96,near_pre,0.06473564382153732,-0.00746263807653902,0.07079456640781742,0.07219828189807634,-0.006058922586280102,0.55,False
15,shell_radius_corr_tangential,96,near_post,-0.030324729776776613,-0.001814284260003812,0.06430209096310238,-0.0285104455167728,-0.03397736118632577,0.625,False
15,shell_radius_corr_tangential,96,late_post,-0.07737340994752095,-0.007894109455065626,0.03607214459160387,-0.06947930049245533,0.041301265355917084,0.2,False
15,density_dense_tangential,96,early_pre,-0.1125961110221919,-0.03672187759567558,0.04806194331569747,-0.07587423342651632,0.06453416770649442,0.225,False
15,density_dense_tangential,96,near_pre,-0.2640209536161746,-0.009257506131149371,0.060588432236391224,-0.2547634474850252,0.2034325213797834,0.025,True
15,density_dense_tangential,96,near_post,0.17502203496076887,0.04880454236674631,0.07727959535886968,0.12621749259402257,0.0977424396018992,0.0,False
15,density_dense_tangential,96,late_post,0.11863711351554433,0.0061943856541042605,0.05177374066169437,0.11244272786144008,0.06686337285384997,0.1,False
15,density_sparse_minus_dense,96,early_pre,-0.026641088175518378,0.033725732120600656,0.06301018188696242,-0.060366820296119034,-0.03636909371144404,0.825,False
15,density_sparse_minus_dense,96,near_pre,0.011336909048315646,-0.036578619931253525,0.06309125801808627,0.047915528979569175,-0.05175434896977062,0.975,False
15,density_sparse_minus_dense,96,near_post,0.014037449707312702,-0.0004341305241667005,0.04565695068986388,0.014471580231479403,-0.03161950098255118,0.85,False
15,density_sparse_minus_dense,96,late_post,-0.02250234393005872,-0.0007744108465184791,0.049173359288535945,-0.02172793308354024,-0.026671015358477226,0.675,False
16,shell_edge_minus_core,84,early_pre,0.03232833284181968,-0.014497326044150192,0.05044731028013748,0.04682565888596987,-0.0181189774383178,0.7,False
16,shell_edge_minus_core,84,near_pre,0.05924089530057785,0.004622187977118225,0.05059266676944983,0.05461870732345962,0.008648228531128017,0.4,False
16,shell_edge_minus_core,84,near_post,0.11108253294166938,-0.00490734613130594,0.04495992579434532,0.11598987907297532,0.06612260714732406,0.15,False
16,shell_edge_minus_core,84,late_post,-0.12087516258883294,0.0001589582520102814,0.0552017039216566,-0.12103412084084322,0.06567345866717633,0.075,False
16,all_tangential,84,early_pre,-0.14388716959470987,-0.01365183402835464,0.06616573758266545,-0.13023533556635525,0.07772143201204443,0.075,False
16,all_tangential,84,near_pre,-0.21120795726381436,0.011197365223029882,0.0616942453718263,-0.22240532248684425,0.14951371189198806,0.025,True
16,all_tangential,84,near_post,0.1615252334324585,-0.0031773315247283773,0.058894557900876277,0.16470256495718688,0.10263067553158223,0.05,False
16,all_tangential,84,late_post,0.034042113013779345,-1.1499110262082335e-06,0.04926135036653715,0.034043262924805556,-0.015219237352757806,0.65,False
16,shell_core_tangential,84,early_pre,-0.05748652380044611,0.007700376723724405,0.050072947742805546,-0.06518690052417052,0.007413576057640564,0.425,False
16,shell_core_tangential,84,near_pre,-0.09236862987779809,0.0037633498169678606,0.05171613330746378,-0.09613197969476595,0.04065249657033431,0.225,False
16,shell_core_tangential,84,near_post,0.02309185590666287,0.0050371266985525355,0.07614015327409543,0.018054729208110337,-0.05304829736743256,0.775,False
16,shell_core_tangential,84,late_post,0.06060139060206102,-0.0032073691215131934,0.03896550516484579,0.06380875972357421,0.02163588543721523,0.325,False
16,shell_middle_tangential,84,early_pre,-0.09447665382691103,0.008016163338412902,0.0630141858573497,-0.10249281716532394,0.03146246796956133,0.35,False
16,shell_middle_tangential,84,near_pre,-0.14598083687488866,-0.0273840020004394,0.06001494891830263,-0.11859683487444926,0.08596588795658604,0.05,False
16,shell_middle_tangential,84,near_post,0.08423000012212667,-0.015695398809360522,0.049038813891444745,0.09992539893148719,0.035191186230681924,0.25,False
16,shell_middle_tangential,84,late_post,0.08770374987738605,0.01916153364439491,0.04443112451601072,0.06854221623299114,0.04327262536137533,0.25,False
16,shell_edge_tangential,84,early_pre,-0.11247840004792792,-0.0008680808364809917,0.0512921120487691,-0.11161031921144693,0.06118628799915882,0.125,False
16,shell_edge_tangential,84,near_pre,-0.19395559070189725,0.009127664249504943,0.05665323514273031,-0.2030832549514022,0.13730235555916692,0.025,True
16,shell_edge_tangential,84,near_post,0.23310844009020174,0.006607059887960447,0.04693671375113907,0.22650138020224128,0.18617172633906265,0.0,True
16,shell_edge_tangential,84,late_post,-0.028695523286224215,0.027027843038673626,0.056722652781184935,-0.05572336632489784,-0.02802712949496072,0.825,False
16,shell_radius_corr_tangential,84,early_pre,0.015397866883004978,0.017028625847067703,0.04803323108200882,-0.001630758964062725,-0.03263536419900384,0.9,False
16,shell_radius_corr_tangential,84,near_pre,0.07938579309500565,0.0041730939306604525,0.037393730642187296,0.0752126991643452,0.041992062452818356,0.2,False
16,shell_radius_corr_tangential,84,near_post,0.035519080628447525,-0.0010734781394774744,0.06650177116104615,0.036592558767925,-0.030982690532598625,0.675,False
16,shell_radius_corr_tangential,84,late_post,-0.013189555854030623,0.010643652232095333,0.045629750627988894,-0.023833208086125955,-0.03244019477395827,0.875,False
16,density_dense_tangential,84,early_pre,-0.10327874638942908,0.003697506816630919,0.05138121568550216,-0.10697625320606,0.051897530703926914,0.125,False
16,density_dense_tangential,84,near_pre,-0.18748069411193627,-0.0036073940297984743,0.05307728218542209,-0.18387330008213779,0.13440341192651417,0.025,True
16,density_dense_tangential,84,near_post,0.07065552709196572,0.00010606378532431078,0.05553176158417205,0.07054946330664141,0.015123765507793673,0.4,False
16,density_dense_tangential,84,late_post,0.06075157754221093,0.015148624888060727,0.0679079296364452,0.0456029526541502,-0.007156352094234264,0.525,False
16,density_sparse_minus_dense,84,early_pre,-0.01816649606617462,0.007834310254176052,0.054410035261260134,-0.02600080632035067,-0.036243539195085515,0.725,False
16,density_sparse_minus_dense,84,near_pre,0.12776702748982766,0.004109902341194386,0.04718213169212516,0.12365712514863327,0.0805848957977025,0.0,False
16,density_sparse_minus_dense,84,near_post,0.06208585047056322,0.0003773213816753371,0.02965500343948893,0.06170852908888788,0.03243084703107429,0.15,False
16,density_sparse_minus_dense,84,late_post,-0.10103999333296639,-0.018216554760509842,0.05375332423891756,-0.08282343857245654,0.04728666909404883,0.175,False
17,shell_edge_minus_core,122,early_pre,0.10202728811417121,0.009026569194271965,0.04513806618013172,0.09300071891989925,0.05688922193403949,0.05,False
17,shell_edge_minus_core,122,near_pre,-0.10225279523998457,-0.035092209950526934,0.04222048387994126,-0.06716058528945763,0.060032311360043306,0.075,False
17,shell_edge_minus_core,122,near_post,-0.09681532350379513,0.007001116257847153,0.03170143366910842,-0.10381643976164227,0.0651138898346867,0.075,False
17,shell_edge_minus_core,122,late_post,0.1252160863207565,-0.0011309613632739016,0.04224835868234286,0.1263470476840304,0.08296772763841365,0.025,False
17,all_tangential,122,early_pre,-0.11291209373988002,-0.02652607158821487,0.0537631970880495,-0.08638602215166516,0.059148896651830526,0.125,False
17,all_tangential,122,near_pre,-0.06766438256385898,-0.012340058800325567,0.03800124009264708,-0.05532432376353341,0.0296631424712119,0.275,False
17,all_tangential,122,near_post,0.19922300794975561,0.016056491616478562,0.0360691630355319,0.18316651633327705,0.16315384491422372,0.0,True
17,all_tangential,122,late_post,-0.09143459839030356,0.0033672324612394468,0.05637343580251527,-0.094801830851543,0.03506116258778829,0.2,False
17,shell_core_tangential,122,early_pre,-0.14532685563529768,-0.003909015864851972,0.05416853342103005,-0.1414178397704457,0.09115832221426763,0.05,False
17,shell_core_tangential,122,near_pre,-0.024776973287349978,0.006505699195541816,0.038246433012891976,-0.031282672482891793,-0.013469459725541998,0.65,False
17,shell_core_tangential,122,near_post,0.19034304585195844,0.008359254681501588,0.044638018357599944,0.18198379117045685,0.14570502749435849,0.025,True
17,shell_core_tangential,122,late_post,-0.14914089973343836,-0.013735839796093115,0.044483387585321305,-0.13540505993734525,0.10465751214811705,0.0,False
17,shell_middle_tangential,122,early_pre,-0.14635977543245654,-0.020388200378671603,0.047280851106256024,-0.12597157505378492,0.09907892432620052,0.025,False
17,shell_middle_tangential,122,near_pre,-0.05349773100189277,-0.03015168101729608,0.04759638116970453,-0.02334604998459669,0.005901349832188242,0.475,False
17,shell_middle_tangential,122,near_post,0.16466903582688086,-0.009679374847958014,0.05353952847423986,0.17434841067483886,0.111129507352641,0.0,False
17,shell_middle_tangential,122,late_post,-0.03544087707021844,0.0086110247753576,0.04231862135079553,-0.04405190184557604,-0.006877744280577094,0.575,False
17,shell_edge_tangential,122,early_pre,-0.03575804035285557,-0.020194991330724818,0.047719271121722015,-0.015563049022130751,-0.011961230768866446,0.65,False
17,shell_edge_tangential,122,near_pre,-0.13974225019603476,-0.016808460084857677,0.0367813563807184,-0.12293379011117708,0.10296089381531635,0.1,False
17,shell_edge_tangential,122,near_post,0.16362376145559698,0.014132486246797346,0.045135691904636,0.14949127520879962,0.11848806955096099,0.075,False
17,shell_edge_tangential,122,late_post,-0.05740556287742812,-0.008365283800163959,0.04199330783555987,-0.049040279077264166,0.015412255041868252,0.45,False
17,shell_radius_corr_tangential,122,early_pre,0.10001550303941018,0.0036529228195064465,0.046261610946792445,0.09636258021990372,0.05375389209261773,0.2,False
17,shell_radius_corr_tangential,122,near_pre,-0.1293700946215734,-0.023632902262130967,0.05157204987826712,-0.10573719235944243,0.07779804474330627,0.125,False
17,shell_radius_corr_tangential,122,near_post,-0.0260164677065704,0.006689236224966548,0.046732623510064006,-0.03270570393153695,-0.020716155803493605,0.7,False
17,shell_radius_corr_tangential,122,late_post,0.10358730042495182,0.008965505186474005,0.047857624658946225,0.09462179523847782,0.05572967576600559,0.05,False
17,density_dense_tangential,122,early_pre,-0.13435749036971872,-0.014301051443630938,0.05685015327413073,-0.12005643892608779,0.07750733709558799,0.125,False
17,density_dense_tangential,122,near_pre,0.007336453023127357,0.027665852732895783,0.059368664721150974,-0.020329399709768426,-0.05203221169802362,0.875,False
17,density_dense_tangential,122,near_post,0.13237670122820674,0.010203397199236783,0.05858656164020757,0.12217330402896996,0.07379013958799918,0.15,False
17,density_dense_tangential,122,late_post,-0.17929396308974782,-0.011781987592069089,0.04938898252755988,-0.16751197549767874,0.12990498056218794,0.0,True
17,density_sparse_minus_dense,122,early_pre,0.09487506052046457,0.011986025943346391,0.04659638930890937,0.08288903457711819,0.0482786712115552,0.2,False
17,density_sparse_minus_dense,122,near_pre,-0.16900841239646291,-0.019634773318305727,0.03846549011452491,-0.14937363907815718,0.130542922281938,0.075,True
17,density_sparse_minus_dense,122,near_post,0.004747003762588386,0.001082960584780927,0.049231990162427776,0.0036640431778074594,-0.04448498639983939,0.875,False
17,density_sparse_minus_dense,122,late_post,0.17627919611819842,-0.00437856606468057,0.0441614871905273,0.180657762182879,0.1321177089276711,0.0,True
