ob,variable,family,k,lag_sec,n_events,real_low_to_high_delta_z,real_high_to_low_delta_z,real_direction_contrast_z,real_abs_direction_contrast_z,non_event_abs_direction_median_z,event_minus_non_event_abs_direction_z,p_non_event_abs_direction_ge_event,event_conditioned_gate
16,shell_middle_minus_core,radial_contrast,8,0.1,84,-0.35131995443058495,-0.3374050890163591,-0.013914865414225819,0.013914865414225819,0.12660258631574284,-0.11268772090151702,1.0,False
16,shell_radius_corr_tangential,radial_gradient,8,0.1,84,-0.21924568261732688,-0.20691272267089922,-0.012332959946427663,0.012332959946427663,0.14684070119694684,-0.13450774125051917,1.0,False
16,density_dense_tangential,density_level,8,0.1,84,0.4200777433323236,-0.16847073736177093,0.5885484806940946,0.5885484806940946,0.24658585650576492,0.3419626241883297,0.075,True
16,density_middle_tangential,density_level,8,0.1,84,0.34764559422535446,-0.28062239578671105,0.6282679900120656,0.6282679900120656,0.18113167080211642,0.4471363192099491,0.05,True
16,density_sparse_tangential,density_level,8,0.1,84,0.4645226735613495,-0.33378951072232593,0.7983121842836755,0.7983121842836755,0.2010061813388331,0.5973060029448424,0.0,True
16,density_sparse_minus_dense,density_contrast,8,0.1,84,-0.1077795887906982,-0.18695420630152076,0.07917461751082257,0.07917461751082257,0.20495020237137565,-0.12577558486055307,0.85,False
16,density_knn_distance_corr_tangential,density_gradient,8,0.1,84,-0.16807961749445555,-0.20410143810628045,0.036021820611824906,0.036021820611824906,0.18219245787353333,-0.14617063726170842,0.875,False
17,all_tangential,diffuse_baseline,8,0.1,122,0.35810568552800354,-0.2259463647974378,0.5840520503254414,0.5840520503254414,0.2224201522294996,0.36163189809594176,0.025,True
17,shell_core_tangential,radial_level,8,0.1,122,0.47255944860823573,-0.16491293864629558,0.6374723872545314,0.6374723872545314,0.20592781124633244,0.43154457600819895,0.075,True
17,shell_middle_tangential,radial_level,8,0.1,122,0.22315044197789694,-0.04691436433982932,0.2700648063177262,0.2700648063177262,0.1758148919102173,0.09424991440750893,0.275,True
17,shell_edge_tangential,radial_level,8,0.1,122,0.11841382911446785,-0.3408291942565027,0.45924302337097056,0.45924302337097056,0.1441561532010213,0.3150868701699493,0.075,True
17,shell_edge_minus_core,radial_contrast,8,0.1,122,-0.23991718990964042,-0.278055299599401,0.038138109689760585,0.038138109689760585,0.1623847860811595,-0.12424667639139891,0.85,False
