target,covariate,left_out_ob,spearman_rho_loo,theil_sen_slope_loo
t1_k8_event_abs_z,event_rate_per_sec,6,0.08359133126934984,0.13963870168123785
t1_k8_event_abs_z,event_rate_per_sec,7,-0.017543859649122806,-0.24567137336873984
t1_k8_event_abs_z,event_rate_per_sec,8,-0.0629514963880289,-0.2750878142792659
t1_k8_event_abs_z,event_rate_per_sec,9,-0.011351909184726523,-0.23373464203489533
t1_k8_event_abs_z,event_rate_per_sec,10,0.025799793601651185,0.11390804233656517
t1_k8_event_abs_z,event_rate_per_sec,11,-0.15170278637770898,-0.3640882957960864
t1_k8_event_abs_z,event_rate_per_sec,12,-0.009287925696594427,-0.1727468262643718
t1_k8_event_abs_z,event_rate_per_sec,13,-0.05263157894736842,-0.26935594326705836
t1_k8_event_abs_z,event_rate_per_sec,14,0.05056759545923633,0.13963870168123785
t1_k8_event_abs_z,event_rate_per_sec,15,-0.08771929824561403,-0.31668676799436096
t1_k8_event_abs_z,event_rate_per_sec,16,-0.02786377708978328,-0.24567137336873984
t1_k8_event_abs_z,event_rate_per_sec,17,0.02786377708978328,-0.0465108786764288
t1_k8_event_abs_z,event_rate_per_sec,18,0.021671826625386997,0.019441554583264967
t1_k8_event_abs_z,event_rate_per_sec,19,-0.07120743034055728,-0.2750878142792659
t1_k8_event_abs_z,median_prev_duration_sec,1,0.2085699813311351,0.9481421616977689
t1_k8_event_abs_z,median_prev_duration_sec,2,0.27878165821488354,1.154908868878505
t1_k8_event_abs_z,median_prev_duration_sec,3,0.11564276192617391,0.5731269127337065
t1_k8_event_abs_z,median_prev_duration_sec,4,0.11564276192617391,0.5731269127337065
t1_k8_event_abs_z,median_prev_duration_sec,5,0.27052146093444257,1.084754286538109
