question,association,x,y,left_out_ob,rho_without_ob,rho_full,abs_change
HET2,history abs effect vs T1 effect,408x_T1_effect,4121_history_abs_effect,10,-0.11042311661506708,-0.12280701754385966,0.012383900928792574
HET2,history abs effect vs T1 effect,408x_T1_effect,4121_history_abs_effect,11,-0.07739938080495357,-0.12280701754385966,0.04540763673890609
HET2,history abs effect vs T1 effect,408x_T1_effect,4121_history_abs_effect,12,-0.12074303405572755,-0.12280701754385966,0.0020639834881321095
HET2,history abs effect vs T1 effect,408x_T1_effect,4121_history_abs_effect,13,-0.05675954592363261,-0.12280701754385966,0.06604747162022705
HET2,history abs effect vs T1 effect,408x_T1_effect,4121_history_abs_effect,14,-0.11042311661506708,-0.12280701754385966,0.012383900928792574
HET2,history abs effect vs T1 effect,408x_T1_effect,4121_history_abs_effect,15,-0.2115583075335397,-0.12280701754385966,0.08875128998968006
HET2,history abs effect vs T1 effect,408x_T1_effect,4121_history_abs_effect,16,-0.07739938080495357,-0.12280701754385966,0.04540763673890609
HET2,history abs effect vs T1 effect,408x_T1_effect,4121_history_abs_effect,17,-0.09184726522187822,-0.12280701754385966,0.030959752321981435
HET2,history abs effect vs T1 effect,408x_T1_effect,4121_history_abs_effect,18,-0.1496388028895769,-0.12280701754385966,0.026831785345717243
HET2,history abs effect vs T1 effect,408x_T1_effect,4121_history_abs_effect,19,-0.04643962848297213,-0.12280701754385966,0.07636738906088752
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,1,-0.10629514963880288,-0.0912280701754386,0.015067079463364275
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,2,-0.1042311661506708,-0.0912280701754386,0.013003095975232193
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,3,-0.07533539731682146,-0.0912280701754386,0.015892672858617146
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,4,-0.17647058823529413,-0.0912280701754386,0.08524251805985553
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,5,-0.05675954592363261,-0.0912280701754386,0.03446852425180599
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,6,-0.21568627450980388,-0.0912280701754386,0.12445820433436527
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,7,-0.09803921568627451,-0.0912280701754386,0.006811145510835906
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,8,0.021671826625386997,-0.0912280701754386,0.1128998968008256
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,9,-0.13725490196078433,-0.0912280701754386,0.04602683178534572
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,10,-0.07533539731682146,-0.0912280701754386,0.015892672858617146
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,11,-0.04643962848297213,-0.0912280701754386,0.04478844169246647
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,12,-0.09184726522187822,-0.0912280701754386,0.000619195046439619
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,13,-0.003095975232198142,-0.0912280701754386,0.08813209494324047
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,14,-0.07533539731682146,-0.0912280701754386,0.015892672858617146
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,15,-0.19711042311661509,-0.0912280701754386,0.10588235294117648
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,16,-0.04643962848297213,-0.0912280701754386,0.04478844169246647
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,17,-0.08359133126934985,-0.0912280701754386,0.00763673890608875
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,18,-0.11867905056759545,-0.0912280701754386,0.02745098039215685
HET2,history null gap vs T1 effect,408x_T1_effect,4121_null_gap,19,-0.04437564499484004,-0.0912280701754386,0.04685242518059856
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,1,0.4263017353921168,0.4311942723373356,0.004892536945218795
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,2,0.4216399482016233,0.4311942723373356,0.009554324135712278
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,3,0.46495881970978986,0.4311942723373356,0.03376454737245427
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,4,0.3876446510744437,0.4311942723373356,0.04354962126289191
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,5,0.3807666879167721,0.4311942723373356,0.0504275844205635
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,6,0.3404664430895252,0.4311942723373356,0.09072782924781042
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,7,0.45851597232351105,0.4311942723373356,0.02732169998617545
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,8,0.6206609648781952,0.4311942723373356,0.18946669254085963
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,9,0.4270333446042791,0.4311942723373356,0.004160927733056485
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,10,0.42809826566314263,0.4311942723373356,0.0030960066741929637
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,11,0.4472668447226864,0.4311942723373356,0.016072572385350814
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,12,0.4174490550745073,0.4311942723373356,0.013745217262828291
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,13,0.41663746431269855,0.4311942723373356,0.014556808024637047
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,14,0.42809826566314263,0.4311942723373356,0.0030960066741929637
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,15,0.40012770594643854,0.4311942723373356,0.031066566390897055
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,16,0.4472668447226864,0.4311942723373356,0.016072572385350814
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,17,0.4174490550745073,0.4311942723373356,0.013745217262828291
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,18,0.42952315908525623,0.4311942723373356,0.0016711132520793592
HET2,history abs effect vs route score,route_positive_score,4121_history_abs_effect,19,0.41663746431269855,0.4311942723373356,0.014556808024637047
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,1,-0.5318093916529487,-0.5033048383101146,0.028504553342834082
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,2,-0.5149461746437864,-0.5033048383101146,0.011641336333671815
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,3,-0.5318093916529487,-0.5033048383101146,0.028504553342834082
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,4,-0.5318093916529487,-0.5033048383101146,0.028504553342834082
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,5,-0.5149461746437864,-0.5033048383101146,0.011641336333671815
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,6,-0.34164411897417957,-0.5033048383101146,0.16166071933593507
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,7,-0.5140824119311838,-0.5033048383101146,0.010777573621069125
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,8,-0.4134606639940384,-0.5033048383101146,0.08984417431607622
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,9,-0.5098278636456137,-0.5033048383101146,0.006523025335499089
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,10,-0.5098278636456137,-0.5033048383101146,0.006523025335499089
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,11,-0.5098278636456137,-0.5033048383101146,0.006523025335499089
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,12,-0.5098278636456137,-0.5033048383101146,0.006523025335499089
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,13,-0.5140824119311838,-0.5033048383101146,0.010777573621069125
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,14,-0.5098278636456137,-0.5033048383101146,0.006523025335499089
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,15,-0.5149461746437864,-0.5033048383101146,0.011641336333671815
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,16,-0.5098278636456137,-0.5033048383101146,0.006523025335499089
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,17,-0.5098278636456137,-0.5033048383101146,0.006523025335499089
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,18,-0.5140824119311838,-0.5033048383101146,0.010777573621069125
HET3,stable failure vs route score,stable_408x_failure_binary,route_positive_score,19,-0.5140824119311838,-0.5033048383101146,0.010777573621069125
HET3,stable failure vs event-local effect,stable_408x_failure_binary,4100_event_local_effect,1,-0.06814662756363819,-0.06262242910851495,0.005524198455123239
