ob,variable,relative_time_sec,real_median_aligned_z,real_q25_aligned_z,real_q75_aligned_z,null_median_aligned_z,null_q25_aligned_z,null_q75_aligned_z,real_minus_null_aligned_z,n_events
2,shell_middle_tangential,0.05,0.0847728627108848,-0.30813303556089777,0.5878742526170639,-0.012146871366354867,-0.082147942135157,0.09719289700215222,0.09691973407723967,43
2,shell_middle_tangential,0.1,-0.0131990575122119,-0.7084733394237122,0.9226061719430414,0.02385883213379838,-0.030943056199853203,0.131129426924179,-0.03705788964601028,43
2,shell_middle_tangential,0.15,0.1479796423472617,-0.4874992364300168,1.0448521660686767,-0.00224943918549584,-0.06389213415882279,0.10873137208733169,0.15022908153275752,43
2,shell_middle_tangential,0.2,0.1429791938794171,-0.494806098605986,0.9342840156902181,-0.04870863556179901,-0.12594499530868153,0.0988267244805984,0.1916878294412161,43
2,shell_middle_tangential,0.25,0.0419547309174948,-0.8033994015820946,0.7902519518277102,-0.003180372229418346,-0.07614426476698916,0.11859826344227437,0.045135103146913144,43
2,shell_middle_tangential,0.3,-0.046328087525899585,-0.847761113954815,0.5460438380326798,-0.015417807716247426,-0.12138300512658443,0.10914583333630257,-0.030910279809652157,43
2,shell_middle_tangential,0.35,-0.1256327688873998,-0.5489587462297405,0.48741473574179034,0.014921671782867539,-0.13354146227767238,0.11040961205691933,-0.14055444067026734,43
2,shell_middle_tangential,0.4,0.1913657142578492,-0.5604460944279092,0.8075127045003607,0.02037709046933935,-0.07188519997635374,0.10380068678275839,0.17098862378850985,43
2,shell_middle_tangential,0.45,0.02165875006594109,-0.47468299751996446,0.6683048129038187,0.01267222928627651,-0.12006760210308226,0.11828637525269196,0.00898652077966458,43
2,shell_middle_tangential,0.5,0.0666603257716421,-0.8119745120396231,0.4690332838800678,0.03323890507956087,-0.0799925363648728,0.11361705322153871,0.03342142069208123,43
2,shell_edge_tangential,-0.5,-0.1109482160761201,-0.7282916578800802,0.5165790473133802,0.00455333247684768,-0.053080422061049626,0.10813163250113578,-0.11550154855296778,43
2,shell_edge_tangential,-0.45,0.026942707520335785,-0.7283023978682988,0.48636458540296823,0.026636087807911695,-0.09828525025254008,0.11364019382110094,0.0003066197124240895,43
2,shell_edge_tangential,-0.4,-0.2872389033045324,-0.9302855277774611,0.3509926204381899,0.02317032300404863,-0.07689205884227893,0.09968248904655361,-0.31040922630858103,43
2,shell_edge_tangential,-0.35,0.1158503284173748,-0.65019451725175,0.5870885915435788,-0.0026376938129370336,-0.12882142033578087,0.10263619048724258,0.11848802223031184,43
