spectral_set,n_runs,median_run_duration_sec,q75_run_duration_sec,q90_run_duration_sec,q95_run_duration_sec,mean_run_duration_sec,frac_runs_ge_0p1s,frac_runs_ge_0p2s,frac_runs_ge_0p5s,frac_runs_ge_1p0s,frac_runs_ge_2p0s,surrogate_type,replicate
high,83621,0.019999999999996,0.029999999999994,0.039999999999992,0.04999999999999,0.02001076284665042,0.0010284497913203622,0.0,0.0,0.0,0.0,label_shuffle,4
low,83618,0.019999999999996,0.029999999999994,0.039999999999992,0.04999999999999,0.01999689062163356,0.0009088952139491497,0.0,0.0,0.0,0.0,label_shuffle,4
all,167239,0.019999999999996,0.029999999999994,0.039999999999992,0.04999999999999,0.02000382685856475,0.0009686735749436436,0.0,0.0,0.0,0.0,label_shuffle,4
high,8736,0.0299999999999991,0.119999999999976,0.459999999999908,0.8599999999999742,0.16722985347982897,0.26465201465201466,0.17960164835164835,0.09271978021978022,0.039606227106227104,0.00847069597069597,independent_phase_rank,4
low,8732,0.0299999999999991,0.139999999999972,0.519999999999896,0.9944999999998828,0.19202244617496048,0.29317453046266606,0.19640403114979385,0.10180943655519926,0.04912963811268896,0.013513513513513514,independent_phase_rank,4
all,17468,0.0299999999999991,0.129999999999974,0.489999999999902,0.939999999999812,0.1796233111975922,0.27891000686970463,0.1880009159606137,0.09726356766659033,0.04436684222578429,0.010991527364323335,independent_phase_rank,4
high,7454,0.039999999999992,0.159999999999968,0.64999999999987,1.179999999999764,0.2239737053930448,0.31083981754762546,0.22377247115642607,0.12422860209283607,0.061711832573115105,0.018111081298631607,coupled_phase_rank,4
low,7455,0.039999999999992,0.159999999999968,0.6899999999998621,1.179999999999764,0.22469885982558752,0.30824949698189136,0.21918175720992622,0.12608987256874582,0.0635814889336016,0.017974513749161636,coupled_phase_rank,4
all,14909,0.039999999999992,0.159999999999968,0.669999999999866,1.179999999999764,0.22433630692866796,0.3095445703937219,0.22147696022536723,0.12515929975182777,0.06264672345563083,0.018042792943859413,coupled_phase_rank,4
high,84063,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.019905547030200626,0.0008683963218062644,0.0,0.0,0.0,0.0,label_shuffle,5
low,84063,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.01989103410537044,0.0008802921618310077,0.0,0.0,0.0,0.0,label_shuffle,5
all,168126,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.01989829056778553,0.0008743442418186361,0.0,0.0,0.0,0.0,label_shuffle,5
high,8805,0.0299999999999991,0.119999999999976,0.44999999999995594,0.8399999999999748,0.16574559909140268,0.27007382169222033,0.1779670641680863,0.09051675184554231,0.03929585462805224,0.008404315729699035,independent_phase_rank,5
low,8802,0.0299999999999991,0.139999999999972,0.5399999999999838,0.9699999999999709,0.19024994319470248,0.28686662122244944,0.19927289252442626,0.10747557373324244,0.04726198591229266,0.012042717564189957,independent_phase_rank,5
all,17607,0.0299999999999991,0.129999999999974,0.4999999999999,0.9099999999999727,0.17799568353493334,0.27846879082183223,0.18861816323053332,0.09899471800988244,0.04327824160845119,0.010223206679161698,independent_phase_rank,5
high,7283,0.039999999999992,0.159999999999968,0.669999999999866,1.1899999999999644,0.22916243306326453,0.30866401208293287,0.21996430042564877,0.12783193738843884,0.06494576410819718,0.019222847727584785,coupled_phase_rank,5
low,7280,0.039999999999992,0.169999999999966,0.69999999999986,1.189999999999762,0.23018406593403226,0.3075549450549451,0.22706043956043956,0.128021978021978,0.06648351648351648,0.019642857142857142,coupled_phase_rank,5
all,14563,0.039999999999992,0.1599999999999952,0.679999999999864,1.189999999999762,0.22967314426969104,0.30810959280368055,0.2235116390853533,0.12792693813087963,0.06571448190620065,0.019432809173933942,coupled_phase_rank,5
high,83511,0.019999999999996,0.0199999999999994,0.039999999999992,0.04999999999999,0.02003712085832711,0.0009220342230364862,0.0,0.0,0.0,0.0,label_shuffle,6
low,83513,0.019999999999996,0.029999999999994,0.039999999999992,0.04999999999999,0.020022032497931528,0.0009579346928023182,0.0,0.0,0.0,0.0,label_shuffle,6
all,167024,0.019999999999996,0.029999999999994,0.039999999999992,0.04999999999999,0.020029576587792836,0.0009399846728613851,0.0,0.0,0.0,0.0,label_shuffle,6
high,8830,0.0299999999999991,0.1099999999999967,0.4499999999999865,0.8799999999999063,0.16809173272930883,0.2597961494903737,0.17361268403171007,0.09026047565118912,0.041789354473386185,0.009060022650056626,independent_phase_rank,6
low,8826,0.0299999999999991,0.129999999999974,0.5549999999999358,0.9999999999999275,0.18905166553362474,0.2812145932472241,0.19340584636301836,0.10718332200317245,0.0498527079084523,0.012123272150464536,independent_phase_rank,6
all,17656,0.0299999999999991,0.119999999999976,0.4999999999999,0.94999999999981,0.17856932487537208,0.27050294517444495,0.1835070231082918,0.09871998187584957,0.0458201178069778,0.010591300407793386,independent_phase_rank,6
