lag_sec,spectral_set,median_retention,q25_retention,q75_retention,median_retention_lift,q25_retention_lift,frac_ob_lift_positive,median_mass,median_origin_count,surrogate_type,replicate
0.5,high,0.6303369553287235,0.6087530883239816,0.6498331157293333,0.16151319111778684,0.14134265040645355,1.0,0.46640067198656027,8398.0,independent_phase_rank,2
0.5,low,0.679635014539256,0.6560247458898012,0.6937926057162251,0.1392980150268759,0.12482819224811176,1.0,0.5335993280134397,9555.0,independent_phase_rank,2
1.0,high,0.5458588104502501,0.5179850709418594,0.5587193663639958,0.07551309295422493,0.05354883342997843,1.0,0.46640067198656027,8365.0,independent_phase_rank,2
1.0,low,0.6051247471341875,0.5864453945809083,0.6215502381782064,0.06538192879033322,0.04793658940580575,1.0,0.5335993280134397,9527.0,independent_phase_rank,2
0.05,high,0.9035312684947722,0.8940438803742095,0.907215165881762,0.4050270538839697,0.3969079395428347,1.0,0.4990660440293529,9924.0,coupled_phase_rank,2
0.05,low,0.9006602336211275,0.8964819930495851,0.9073276872742364,0.4026826136354512,0.3896435140265464,1.0,0.500933955970647,9845.0,coupled_phase_rank,2
0.1,high,0.8578050992643353,0.8500887473575225,0.8684609332161676,0.3612575159560195,0.3523712220494077,1.0,0.4990660440293529,9923.0,coupled_phase_rank,2
0.1,low,0.8597433601909877,0.852841449320614,0.8682655071284459,0.35944009495127976,0.3470448442177354,1.0,0.500933955970647,9840.0,coupled_phase_rank,2
0.2,high,0.7974480056264442,0.7878720149888805,0.8058686652055707,0.2985485559015818,0.2859960620379446,1.0,0.4990660440293529,9923.0,coupled_phase_rank,2
0.2,low,0.797644005191175,0.7864139895296614,0.8083018686760737,0.2966352123178574,0.28828994248059725,1.0,0.500933955970647,9830.0,coupled_phase_rank,2
0.5,high,0.6753116204262163,0.6569676942416731,0.6967972177888375,0.17644273292197943,0.1573679045101983,1.0,0.4990660440293529,9909.0,coupled_phase_rank,2
0.5,low,0.679079664849049,0.6543476172789946,0.6991012040703977,0.17747859747079686,0.15701256654756307,1.0,0.500933955970647,9805.0,coupled_phase_rank,2
1.0,high,0.5741471808887539,0.5637615657886116,0.6094601007134666,0.0775995975804381,0.06261473065328324,1.0,0.4990660440293529,9879.0,coupled_phase_rank,2
1.0,low,0.5772499163599866,0.5669111612186618,0.6138524948512963,0.07692564102723609,0.06598539809690879,1.0,0.500933955970647,9804.0,coupled_phase_rank,2
0.05,high,0.4999091074350118,0.4976014788040475,0.5031042984243135,-0.0007733932474888183,-0.003036374516529494,0.42105263157894735,0.5000334291636023,9894.0,label_shuffle,3
0.05,low,0.49910802775024776,0.49826330564912086,0.5005428418979092,-0.0010501274407894723,-0.002997233428623458,0.42105263157894735,0.4999665708363977,9936.0,label_shuffle,3
0.1,high,0.5004505857614899,0.4981036747928985,0.5029712845066474,-0.0002760935039398671,-0.0025988823516745196,0.47368421052631576,0.5000334291636023,9891.0,label_shuffle,3
0.1,low,0.5012886597938144,0.49724713191105996,0.5028084884883826,-0.00013352914758552048,-0.0028033178340772513,0.47368421052631576,0.4999665708363977,9935.0,label_shuffle,3
0.2,high,0.4994212353993476,0.49808694373870416,0.5010718680680124,-0.0015003507821259587,-0.0034459124475500758,0.3157894736842105,0.5000334291636023,9888.0,label_shuffle,3
0.2,low,0.49746461018381577,0.4958487434313381,0.503024526684067,-0.0013025092890533996,-0.0033455123900610895,0.3157894736842105,0.4999665708363977,9928.0,label_shuffle,3
0.5,high,0.5014056224899598,0.4990082711442182,0.5028239002635065,0.0005759924715350584,-0.0011061383799808588,0.631578947368421,0.5000334291636023,9877.0,label_shuffle,3
0.5,low,0.5012526305241006,0.4988918135959349,0.502073336440571,0.0005737148798006242,-0.00151671172797202,0.631578947368421,0.4999665708363977,9912.0,label_shuffle,3
1.0,high,0.49899630216587426,0.49625926334423787,0.5037100188737902,-0.001088053912168041,-0.004026533172376223,0.47368421052631576,0.5000334291636023,9854.0,label_shuffle,3
1.0,low,0.5002522958926229,0.4962344254555551,0.5023651278948927,-0.0009054779209318742,-0.0037488599626437635,0.47368421052631576,0.4999665708363977,9887.0,label_shuffle,3
0.05,high,0.877785435331955,0.8578893566572307,0.8859187556737805,0.4086356600295818,0.39514399617140017,1.0,0.467275348390197,8413.0,independent_phase_rank,3
0.05,low,0.8935512807734476,0.8762243005687255,0.8994625237065614,0.35727508235349636,0.34353650558259585,1.0,0.532724651609803,9814.0,independent_phase_rank,3
0.1,high,0.8267981717584797,0.8076116779208782,0.8379380310879089,0.3624821059749793,0.34243529391341576,1.0,0.467275348390197,8411.0,independent_phase_rank,3
0.1,low,0.8504434702823938,0.8325540840362975,0.8606731221605253,0.316186304519268,0.29964052220688553,1.0,0.532724651609803,9809.0,independent_phase_rank,3
0.2,high,0.7511715624642816,0.733402815267798,0.7742549222085476,0.28205263780758927,0.2703063441731974,1.0,0.467275348390197,8402.0,independent_phase_rank,3
0.2,low,0.7795874049945711,0.7706938193755877,0.8047621086682772,0.25076345093952734,0.23387292606199162,1.0,0.532724651609803,9799.0,independent_phase_rank,3
0.5,high,0.6250590272312293,0.6050697938002758,0.656447262171494,0.15789168457027858,0.13063472678849108,1.0,0.467275348390197,8372.0,independent_phase_rank,3
