replicate,variable,null_abs_transition_modulation
23,top_speed_radius_mean_z,0.017258628723577724
23,top_tangential_radius_mean_z,0.03367001640689088
23,resid_speed_gini,0.06922436587116745
23,resid_energy_shell_entropy,0.02226469972410197
24,edge_energy_share,0.013906288329618571
24,core_energy_share,0.03601706858052511
24,edge_minus_core_energy_share,0.02495375508694045
24,edge_minus_core_speed_mean,0.040118426706720445
24,edge_minus_core_speed_q75,0.036648843602884035
24,edge_minus_core_tangential_mean,0.03250608867814214
24,edge_minus_core_tangential_q75,0.03054551184711915
24,edge_minus_core_radial_abs_mean,0.018292176330512
24,edge_minus_core_radial_abs_q75,0.010585336316756094
24,edge_minus_core_radial_signed_mean,0.04712563302362277
24,edge_high_speed_fraction_minus_core,0.01645209796160685
24,top_speed_radius_mean_z,0.015389883044097247
24,top_tangential_radius_mean_z,0.03903682056874336
24,resid_speed_gini,0.043813745965107176
24,resid_energy_shell_entropy,0.02431613554067269
25,edge_energy_share,0.025202941142772023
25,core_energy_share,0.04220957848514359
25,edge_minus_core_energy_share,0.018732414780113005
25,edge_minus_core_speed_mean,0.023663451925858114
25,edge_minus_core_speed_q75,0.02204768136103899
25,edge_minus_core_tangential_mean,0.028926579859091917
25,edge_minus_core_tangential_q75,0.023107249707812583
25,edge_minus_core_radial_abs_mean,0.012285266568368286
25,edge_minus_core_radial_abs_q75,0.008130234099826661
25,edge_minus_core_radial_signed_mean,0.030546022397293815
25,edge_high_speed_fraction_minus_core,0.02074489075354699
25,top_speed_radius_mean_z,0.017854072780152802
25,top_tangential_radius_mean_z,0.03668683119085264
25,resid_speed_gini,0.020987412108715964
25,resid_energy_shell_entropy,0.024207558454133804
26,edge_energy_share,0.042624722680876
26,core_energy_share,0.021506975304927844
26,edge_minus_core_energy_share,0.04103419566430194
26,edge_minus_core_speed_mean,0.040009329375581354
26,edge_minus_core_speed_q75,0.037643663676850375
26,edge_minus_core_tangential_mean,0.03155850859949594
26,edge_minus_core_tangential_q75,0.0392919511090343
26,edge_minus_core_radial_abs_mean,0.03540699232355379
26,edge_minus_core_radial_abs_q75,0.04351599686999191
26,edge_minus_core_radial_signed_mean,0.03193583262468325
26,edge_high_speed_fraction_minus_core,0.05231420017786506
26,top_speed_radius_mean_z,0.02629044038668099
26,top_tangential_radius_mean_z,0.02953139776577343
26,resid_speed_gini,0.028732591779089184
26,resid_energy_shell_entropy,0.032603037764638215
27,edge_energy_share,0.008960953162019336
27,core_energy_share,0.013661402349023882
27,edge_minus_core_energy_share,0.02042332072880429
27,edge_minus_core_speed_mean,0.013111924992276314
27,edge_minus_core_speed_q75,0.009747463474759771
27,edge_minus_core_tangential_mean,0.032544014726252096
27,edge_minus_core_tangential_q75,0.02276393701076096
27,edge_minus_core_radial_abs_mean,0.011362594404196902
27,edge_minus_core_radial_abs_q75,0.014358045574407258
27,edge_minus_core_radial_signed_mean,0.021347260632786524
27,edge_high_speed_fraction_minus_core,0.014170711528269125
27,top_speed_radius_mean_z,0.013697204721519501
27,top_tangential_radius_mean_z,0.006496517526946466
27,resid_speed_gini,0.003882857164136444
27,resid_energy_shell_entropy,0.014330535951271983
28,edge_energy_share,0.05208392986526186
28,core_energy_share,0.031011692678527297
28,edge_minus_core_energy_share,0.03478726251003478
28,edge_minus_core_speed_mean,0.0394164497869203
28,edge_minus_core_speed_q75,0.03183339918116662
28,edge_minus_core_tangential_mean,0.03444064707222602
28,edge_minus_core_tangential_q75,0.026436764915691968
28,edge_minus_core_radial_abs_mean,0.0658460343208046
28,edge_minus_core_radial_abs_q75,0.043365863579205466
