variable,n_ob,n_events,null_median_pre_minus_baseline_z,null_sign_consistency_pre_minus_baseline_z,null_median_event_minus_baseline_z,null_sign_consistency_event_minus_baseline_z,null_median_post_minus_baseline_z,null_sign_consistency_post_minus_baseline_z,null_median_follow_minus_baseline_z,null_sign_consistency_follow_minus_baseline_z,null_median_post_minus_pre_z,null_sign_consistency_post_minus_pre_z,null_pre_to_post_abs_ratio,replicate
edge_minus_core_resid_speed,19,1463,0.13008746096409388,0.6842105263157895,0.0593319882610127,0.631578947368421,0.004719174608191934,0.5263157894736842,0.04983712555386082,0.5789473684210527,-0.04384190057863742,0.5263157894736842,27.56572319622955,39
edge_minus_core_resid_tangential,19,1468,0.03864206609052792,0.631578947368421,0.07820435858982455,0.6842105263157895,0.07245053538534507,0.7368421052631579,0.03767324798670343,0.5789473684210527,0.002058538084906164,0.5263157894736842,0.5333579094343621,40
edge_minus_core_resid_speed,19,1468,0.007249796555416559,0.5263157894736842,0.01174951627515683,0.5263157894736842,0.016596535653967903,0.5789473684210527,0.007060276534093914,0.5263157894736842,0.03784778994440385,0.631578947368421,0.4368258958720265,40
edge_minus_core_resid_speed,19,1468,0.09639682079854456,0.5789473684210527,0.0010721057213140227,0.5263157894736842,-0.002225263338658856,0.5789473684210527,0.027615842703283433,0.631578947368421,-0.034564774736997816,0.631578947368421,43.319286811529444,41
edge_minus_core_resid_tangential,19,1468,-0.06174654053041151,0.6842105263157895,-0.08596136022765849,0.5789473684210527,-0.017572012645764357,0.631578947368421,0.015276025027166212,0.5263157894736842,-0.0016998467327963632,0.5263157894736842,3.513913959383315,41
edge_minus_core_resid_tangential,19,1468,0.041616512772824604,0.5263157894736842,0.004323068536795871,0.5263157894736842,0.039717771921849325,0.5789473684210527,0.03259043878806465,0.6842105263157895,0.037290343628744116,0.5789473684210527,1.0478058249267188,42
edge_minus_core_resid_speed,19,1468,-0.01701740229119103,0.5263157894736842,-0.04782088780024893,0.5789473684210527,0.0044066409785774585,0.5263157894736842,-0.003583964345629964,0.5263157894736842,0.00600559619793406,0.5263157894736842,3.8617628197803735,42
edge_minus_core_resid_speed,19,1467,-0.058006385547033634,0.5789473684210527,-0.06733234428946222,0.5789473684210527,0.0043470680327670624,0.5263157894736842,0.01362523283839484,0.5263157894736842,0.07707164966253151,0.5263157894736842,13.343795199384198,43
edge_minus_core_resid_tangential,19,1467,-0.029473458475611558,0.5263157894736842,-0.029909671272871807,0.5263157894736842,-0.01388333351830634,0.631578947368421,0.01963977131563957,0.5263157894736842,0.05183509566712552,0.5789473684210527,2.122938157233515,43
edge_minus_core_resid_tangential,19,1468,-0.05154481346860498,0.5789473684210527,-0.028284560785880472,0.5789473684210527,0.09045029760201112,0.631578947368421,-0.01709887780631658,0.631578947368421,-0.04675865649058293,0.5789473684210527,0.5698689206685253,44
edge_minus_core_resid_speed,19,1468,-0.002088244047784016,0.5263157894736842,-0.0886511807474617,0.631578947368421,-0.026714072669267314,0.5263157894736842,-0.034962489879116626,0.631578947368421,-0.008131009640355208,0.5263157894736842,0.07817018668914515,44
edge_minus_core_resid_tangential,19,1470,0.007484703489875066,0.5263157894736842,0.00980587195262772,0.5789473684210527,-0.02560505647289013,0.5789473684210527,-0.05138827417347075,0.6842105263157895,-0.027339805402955296,0.5789473684210527,0.292313492758731,45
edge_minus_core_resid_speed,19,1470,0.0645832411287631,0.6842105263157895,-0.05748999700555768,0.631578947368421,-0.038004491570842486,0.5263157894736842,0.01746830137385602,0.5789473684210527,-0.09698785994217204,0.6842105263157895,1.6993581142475316,45
